key	category	owner	skill_name	platform	text
active_hero_38_赛太岁	HERO_ACTIVE	赛太岁	迷烟	ALL	投掷半径8米烟幕持续4秒，区域内敌人失去视野。战术价值：掩护撤退或遮挡视线抢装备。（紫金铃摇出的烟）
active_generic_D1	GENERIC_ACTIVE	D1	钩锁	ALL	发射钩锁80米，命中后把敌人拉到面前。CD28秒，伤害80+攻击×0.4，弹道60米/秒。可拉普通野怪和首领；核心BOSS免疫强制位移。钩锁作为投射物：可穿过不阻挡投射物的宝塔，但会被风墙、冻河和实体地图墙阻挡。
active_generic_D3	GENERIC_ACTIVE	D3	雷击	ALL	锁定70米内目标，0.2秒后落雷，造成140+攻击×0.8伤害并眩晕1秒。锁定后不再检查距离和视线，无敌可挡。CD24秒。
active_generic_D4	GENERIC_ACTIVE	D4	变羊	ALL	目标变动物2秒，无法攻击但移速+30%。CD32秒，射程45米，无伤害。边界：有弹道可躲；双刃剑——废对方输出但给逃跑能力；适合拆火不适合追杀；飞行单位变羊后仍飞行。
active_generic_D6	GENERIC_ACTIVE	D6	闪现	ALL	向指定方向尝试瞬移15米，CD15秒，无伤害。全程使用玩家胶囊连续扫掠：可穿过连续实体厚度不超过1.5米的可跨越障碍；宝塔墙1.6米，因此自然阻挡。若目标点非法，停在同方向最后合法点；不能越过地图边界，瞬移后无僵直。
active_generic_D7	GENERIC_ACTIVE	D7	潜行	ALL	进入隐身+30%加速，持续5秒。攻击或施法显形。CD32秒，无伤害。边界：隐身期间对方看不到（除非照妖镜/照妖珠）；破隐一击无额外伤害；隐身可捡装备/技能书不显形。
active_generic_D9	GENERIC_ACTIVE	D9	箭雨	ALL	对35米内目标区域降下箭雨，圆形半径8米，范围内所有敌人受伤。CD24秒，射程35米，伤害130+攻击×0.6。边界：落箭区有0.8秒预警可走出；从天而降不可被风墙阻挡；清野效率高；与九齿钉耙（近战扇形+减速）形状彻底错开。
active_generic_D10	GENERIC_ACTIVE	D10	电链	ALL	对一个目标释放闪电，跳跃至5个敌人，每次跳跃衰减15%。CD85秒，初始伤害300+攻击×1.0，跳跃范围：每次15米。边界：初始必中，后续自动寻15米内最近非友方；最多6目标；第6跳≈初始44%；总伤害全吃约初始×4.3倍；适合团战不适合单挑；范围内只1个目标只打1个。
active_generic_D11	GENERIC_ACTIVE	D11	轮盘	ALL	锁定40米内目标并造成1—999点均匀随机技能伤害，双方看见结果数字。伤害期望500；不能暴击；五行、护盾和击杀归属按普通玩家技能处理。CD50秒。
active_generic_D12	GENERIC_ACTIVE	D12	标记	ALL	标记60米内一个敌人90秒；只有施法者持续看见其精确位置。施法者击杀目标额外获得800金。CD70秒。
active_generic_D13	GENERIC_ACTIVE	D13	换位	ALL	先选择50米内可见单位A，再在3秒内选择不同单位B并原子换位；超时、取消或目标非法不进CD。首领、龙王和核心BOSS免疫。CD62秒。
active_generic_D14	GENERIC_ACTIVE	D14	回溯	ALL	回到5秒前的位置和血量（取两者中较高值）。CD95秒，回溯时间5秒。边界：血量取较高值；位置若有障碍物回溯失败不穿墙；5秒前在天劫区外现在区内可救命，反之会害死你；不重置技能CD。
active_generic_D15	GENERIC_ACTIVE	D15	妙手空空	ALL	30米内立即斩杀普通或飞行野怪；肥猪仅在生命不高于30%时可斩杀。斩杀只把基础金币变为3倍，经验和掉落仍结算1次。对玩家转移500金，不足则全取。CD38秒。
active_generic_D16	GENERIC_ACTIVE	D16	聚财	ALL	立即获得450金币。CD100秒，不限次数；真死复活后主动按全局规则可用，已创造金币记录不会重置。
active_generic_D17	GENERIC_ACTIVE	D17	连赏	ALL	开启赏金状态后，每次击杀玩家使赏金500→1000→2000→4000→8000→16000→32000，封顶32000；玩家击杀你获得当前赏金50%。CD55秒。
active_generic_D18	GENERIC_ACTIVE	D18	淘金狂热	ALL	扫描80米内落地超过10秒的装备并标记20秒；可穿迷雾和墙，只向施法者显示，且不显示掉落者。CD16秒。
active_generic_D19	GENERIC_ACTIVE	D19	豆兵	ALL	撒出3个豆兵持续15秒，每个150生命15攻击。CD50秒。边界：豆兵自动攻击附近敌人优先英雄；攻击力固定不受英雄加成；可被AOE清掉；不触发被动。
active_generic_D20	GENERIC_ACTIVE	D20	陷阱	ALL	放置可见陷阱，持续90秒、最多3个。任何实际胶囊轨迹穿越都会触发，只有无敌或从触发体上方越过例外；短按选最近陷阱引爆，长按选择。CD16秒。
active_generic_D21	GENERIC_ACTIVE	D21	冰棺	ALL	冰封自己，无敌4秒但不能移动/攻击/施法。CD75秒。边界：无敌但自缚；4秒内对方可守尸；适合拖过对方爆发窗口（大闹天宫5秒冰棺4秒拖掉大部分）；不能用来逃生。
active_generic_D22	GENERIC_ACTIVE	D22	铁布衫	ALL	获得600护盾5秒，可吸收所有伤害类型。多个护盾并存时先消耗最早到期者；到期相同按创建顺序。CD45秒。
passive_B1	PASSIVE	B1	冰霜	ALL	1级 10% 减速30% 2秒 | 2级 13% 减速40% 2秒 | 3级 16% 减速50% 2.5秒 | 4级 20% 减速60% 2.5秒 | 5级 25% 减速80% 3秒。质变：目标周围5米敌人也减速35%
passive_B2	PASSIVE	B2	麻痹	ALL	1级 8% 沉默0.8秒 | 2级 10% 沉默1.0秒 | 3级 12% 沉默1.2秒 | 4级 15% 沉默1.4秒 | 5级 18% 沉默1.5秒。质变：沉默结束时目标主动技能CD+3秒
passive_B3	PASSIVE	B3	击退	ALL	1级 20% 击退3米 | 2级 23% 3.5米 | 3级 26% 4米 | 4级 30% 4.5米 | 5级 35% 击退5米。质变：暴击时目标周围5米敌人也击退3米
passive_B4	PASSIVE	B4	致盲	ALL	1级 10% 目标普攻50%miss 2秒 | 2级 12% 60%miss 2秒 | 3级 14% 70%miss 2.5秒 | 4级 17% 80%miss 2.5秒 | 5级 20% 80%miss 3秒。质变：致盲期间目标无法暴击
passive_B5	PASSIVE	B5	眩晕	ALL	1级 5% 眩晕0.4秒 | 2级 6% 0.5秒 | 3级 7% 0.6秒 | 4级 8% 0.7秒 | 5级 10% 眩晕0.8秒。质变：触发时目标周围3米敌人也眩晕0.3秒
passive_B6	PASSIVE	B6	暴击	ALL	1级 8% 暴击180% | 2级 10% 190% | 3级 13% 200% | 4级 16% 210% | 5级 20% 暴击230%。质变：暴击时忽略目标30%护盾
passive_B7	PASSIVE	B7	溅射	ALL	1级 10% 溅射40% | 2级 13% 45% | 3级 16% 50% | 4级 20% 55% | 5级 25% 溅射60%。质变：溅射范围扩大50%，主目标也受溅射伤害
passive_B8	PASSIVE	B8	燃灰	ALL	1级 叠5层引爆 已损失8% | 2级 10% | 3级 12% | 4级 叠4层引爆 12% | 5级 叠4层引爆 15%。质变：爆炸时传染2层给周围敌人
passive_B9	PASSIVE	B9	毒素	ALL	1级 叠1层每秒3点最多3层3秒 | 2级 4点/秒最多4层 | 3级 5点/秒最多4层4秒 | 4级 6点/秒最多5层4秒 | 5级 8点/秒最多5层4秒。质变：叠满5层伤害+50%（12点/秒）
passive_B10	PASSIVE	B10	斩杀	ALL	1级 生命低于20% 伤害+25% | 2级 22% +30% | 3级 25% +35% | 4级 28% +40% | 5级 30% +50%。质变：斩杀击杀时回复自身10%最大生命
passive_B11	PASSIVE	B11	连击	ALL	1级 8% 追加1次普攻 | 2级 10% 追加1次 | 3级 12% 最多2次 | 4级 15% 最多2次 | 5级 20% 最多3次。质变：连击最后一刀50%概率触发一个其他被动（从已装备其他3个被动中随机选一个，无视该被动原概率，无论只触发一次）。额外普攻不能再次触发连击；没有其他已拥有被动时，5级附加触发不发生
passive_B12	PASSIVE	B12	狼灵	ALL	1级 6% 召唤狼灵15秒150血20攻 | 2级 8% 200/25 | 3级 10% 250/30 | 4级 12% 300/35 | 5级 15% 350/40。质变：最多同时2只
passive_B13	PASSIVE	B13	火灵	ALL	1级 6% 召唤火灵环绕8秒触碰60伤+点燃3秒 | 2级 8% 80伤 | 3级 10% 100伤 | 4级 12% 120伤 | 5级 15% 150伤。质变：最多2个火灵
passive_B14	PASSIVE	B14	冷箭	ALL	1级 10% 自动射一箭60伤 | 2级 12% 80伤 | 3级 14% 100伤 | 4级 16% 120伤 | 5级 20% 150伤。质变：冷箭可暴击享受暴击加成
passive_B15	PASSIVE	B15	闪避	ALL	1级 10% 躲避普攻 | 2级 13% | 3级 16% | 4级 20% | 5级 25%。质变：成功闪避后2秒内移速+30%
passive_B16	PASSIVE	B16	铁皮	ALL	1级 减6点普攻伤害 | 2级 减10 | 3级 减14 | 4级 减18 | 5级 减25。质变：10%概率完全格挡一次普攻
passive_B17	PASSIVE	B17	护盾	ALL	1级 8% 护盾吸60伤 | 2级 10% 80伤 | 3级 13% 100伤 | 4级 16% 130伤 | 5级 20% 160伤。质变：护盾被打破时对周围造成100点AOE伤害
passive_B18	PASSIVE	B18	嗜血	ALL	1级 每损10%生命攻击+3% | 2级 +4% | 3级 +5% | 4级 +6% | 5级 +8%。质变：血量低于30%时额外获得10%吸血
passive_B19	PASSIVE	B19	假死	ALL	1级 5% 致死免死回10%血 | 2级 6% 12% | 3级 7% 15% | 4级 8% 18% | 5级 10% 回20%血。质变：触发后自动向随机方向闪现
passive_B20	PASSIVE	B20	复活	ALL	1级 死亡原地复活回25%血（每局1次）| 2级 30% | 3级 35% | 4级 40% | 5级 50%。质变：复活后5秒内伤害+30%且免控。这次充能属于整局，顶掉、重新获得或换英雄都不会恢复
passive_B21	PASSIVE	B21	回复	ALL	1级 脱战5秒后每秒回4血 | 2级 6点 | 3级 8点脱战缩为4秒 | 4级 10点 | 5级 15点脱战缩为3秒。质变：脱战后第一次普攻伤害+30%
passive_B22	PASSIVE	B22	反伤	ALL	1级 反弹所受普攻10% | 2级 13% | 3级 16% | 4级 20% | 5级 25%。质变：反弹伤害可暴击
passive_B23	PASSIVE	B23	反击	ALL	1级 6% 受击自动反击80%伤害 | 2级 8% 85% | 3级 10% 90% | 4级 13% 95% | 5级 16% 100%。质变：反击必定暴击。只对直接伤害反击，同一来源0.5秒内最多触发一次
passive_B24	PASSIVE	B24	化伤	ALL	受到技能伤害后，将其中一部分转为自己的回血；这是受伤后的恢复，不能防止致死。等级越高转化越多，满级时还会把转化量的一半反弹给对方。
passive_B25	PASSIVE	B25	暴怒	ALL	1级 被暴击时下次普攻+20% | 2级 28% | 3级 36% | 4级 44% | 5级 55%。质变：触发后2秒内攻速+40%
passive_B26	PASSIVE	B26	背刺	ALL	1级 从背后攻击+35% | 2级 42% | 3级 50% | 4级 58% | 5级 70%。质变：背后攻击必定暴击
passive_B27	PASSIVE	B27	疾跑	ALL	1级 10% 受击移速+20% 2秒 | 2级 13% +25% | 3级 16% +30% 2.5秒 | 4级 20% +35% | 5级 25% +40% 3秒。质变：加速期间免疫减速
passive_B28	PASSIVE	B28	猎杀	ALL	1级 感知30米内残血敌人（低于30%）对其移速+15% | 2级 40米 +18% | 3级 50米 +20% | 4级 60米 +22% | 5级 80米 +25%。质变：对残血敌人伤害+20%。只追踪当前可见或已被显形的残血敌人
passive_B29	PASSIVE	B29	伏击	ALL	1级 对5秒内未受过你伤害的目标首击+25% | 2级 35% | 3级 45%时间缩为4秒 | 4级 55% | 5级 70%时间缩为3秒。质变：触发伏击时额外暴露目标视野3秒
passive_B30	PASSIVE	B30	残影	ALL	1级 移动每2秒留一个残影1.5秒触碰减速20% | 2级 减速25%持续2秒 | 3级 每1.5秒留一个减速30% | 4级 每1.5秒留一个持续2.5秒 | 5级 每秒留一个残影减速35%持续3秒。质变：残影被触碰时爆炸80点AOE
passive_B31	PASSIVE	B31	偷钱	ALL	1级 6% 普攻偷30金 | 2级 8% 40金 | 3级 10% 50金 | 4级 13% 60金 | 5级 16% 80金。质变：偷金币时回复偷取额10%的生命
passive_B32	PASSIVE	B32	贪婪	ALL	1级 击杀野怪额外+40金 | 2级 +60 | 3级 +80 | 4级 +100 | 5级 +150。质变：击杀英雄也触发+250金
passive_B33	PASSIVE	B33	寻宝	ALL	1级 8%击杀野怪掉宝箱（100金） | 2级 10%（120金） | 3级 13%（120金，10%含1宝石） | 4级 16%（120金，15%含1宝石） | 5级 20%（120金，20%含1宝石，5%含G1-G9随机金装）
passive_B34	PASSIVE	B34	利息	ALL	1级 每分钟获持有金币5%利息（上限300金）| 2级 6%上限400 | 3级 7%上限500 | 4级 8%上限600 | 5级 10%上限800。质变：利息上限翻倍（1600金）
passive_B35	PASSIVE	B35	拾荒	ALL	1级 卖装备额外+10%金 | 2级 13% | 3级 16% | 4级 20% | 5级 25%。质变：捡起地上装备时立刻获得该装备卖价的20%金币
passive_B36	PASSIVE	B36	奔腾	ALL	1级 移动每秒叠1层每层+1%移速最多5层停下清零 | 2级 每层1.2%最多6层 | 3级 每层1.5%最多6层 | 4级 每层1.8%最多7层 | 5级 每层2%最多8层。质变：叠满8层时普攻附带移速值20%的额外伤害
passive_B37	PASSIVE	B37	共鸣	ALL	1级 召唤物死亡回10血 | 2级 15血 | 3级 20血+30点AOE | 4级 25血+40点AOE | 5级 30血+50点AOE。质变：召唤物死亡效果提升50%（45血+75点AOE）。自然到期、替换或主人死亡清理的召唤物不触发共鸣
passive_B38	PASSIVE	B38	逆境	ALL	1级 被控制时受伤-15% | 2级 20% | 3级 25% | 4级 30% | 5级 35%。质变：被控制时每秒回2%最大生命
passive_B39	PASSIVE	B39	石像	ALL	1级 脱战7秒后自动召唤石像跟随250血0攻 | 2级 300血 | 3级 350血脱战缩为6秒 | 4级 400血 | 5级 500血脱战缩为5秒。质变：石像被摧毁时对周围造成120点AOE伤害
passive_B40	PASSIVE	B40	强韧	ALL	1级 每击杀+2生命无上限 | 2级 +4 | 3级 +6 | 4级 +7 | 5级 +10。质变：每击杀50个单位额外+160生命（可多次触发）
passive_B41	PASSIVE	B41	赏金	ALL	1级 你被击杀后击杀者头出现赏金标记90秒，任何人击杀该目标+400金 | 2级 +600金 | 3级 +800金标记持续120秒 | 4级 +1000金 | 5级 +1500金。质变：标记期间所有玩家小地图可见赏金目标大致方位
passive_B42	PASSIVE	B42	悬赏	ALL	1级 击杀带赏金标记敌人时主动技能CD-10秒 | 2级 -15秒 | 3级 -20秒 | 4级 -25秒 | 5级 -30秒。质变：击杀赏金目标后5秒内移速+40%
passive_B43	PASSIVE	B43	避雷	ALL	1级 天劫区内被劈概率-20%（50%→40%）| 2级 -30%（→35%）| 3级 -40%（→30%）天劫区内移速+10% | 4级 -50%（→25%）| 5级 -60%（→20%）移速+15%。质变：天劫区内普攻伤害+10%
