passive_id	runtime_payload_json
B11	"{""passive_id"":{""type"":""ENUM"",""value"":""B11""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[8,10,12,15,20]},""max_extra_basics"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""scalar"",""per_level"":true,""value"":[1,1,2,2,3]},""extra_basic_may_trigger_other_passives"":{""type"":""BOOL"",""value"":true},""cannot_trigger_self"":{""type"":""BOOL"",""value"":true},""l5_last_hit_other_passive_chance"":{""type"":""INT64"",""value"":50,""unit"":""scalar""},""l5_other_passive_selection"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""TRIGGER_ONCE_IGNORE_PROC_CHANCE"",""UNIFORM_FROM_OTHER_THREE""]},""extra_basic_cannot_trigger_B11"":{""type"":""BOOL"",""value"":true},""l5_candidate_pool"":{""type"":""ENUM"",""value"":""B11_CLOSED_POOL_INTERSECT_OWNED_OTHERS""},""no_candidate"":{""type"":""ENUM"",""value"":""NO_EXTRA_PASSIVE_TRIGGER""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""0e4654df12a8fbecb9dbb7c184fb07f7c4f4ded91fd5292d5c5e3a5244a0909a""}}"
B12	"{""passive_id"":{""type"":""ENUM"",""value"":""B12""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[6,8,10,12,15]},""summon_hp"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""hp"",""per_level"":true,""value"":[150,200,250,300,350]},""summon_attack"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""scalar"",""per_level"":true,""value"":[20,25,30,35,40]},""duration_s"":{""type"":""INT64"",""value"":15,""unit"":""s""},""max_instances"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""scalar"",""per_level"":true,""value"":[1,1,1,1,2]},""summon_archetype"":{""type"":""ENUM"",""value"":""WOLF_SPIRIT""},""summon_stat_authority"":{""type"":""REF"",""value"":""E.34唯一权威；本载荷内数值须与E.34字节级一致""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""a484ef15b1eacf19c4397d21afac40828a2e86208d2356e60aeaaf3ec213cf22""}}"
B13	"{""passive_id"":{""type"":""ENUM"",""value"":""B13""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[6,8,10,12,15]},""contact_damage"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""hp"",""per_level"":true,""value"":[60,80,100,120,150]},""duration_s"":{""type"":""INT64"",""value"":8,""unit"":""s""},""contact_internal_cd_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""contact_internal_cd_scope"":{""type"":""ENUM"",""value"":""PER_TARGET""},""burn_duration_s"":{""type"":""INT64"",""value"":3,""unit"":""s""},""max_instances"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""scalar"",""per_level"":true,""value"":[1,1,1,1,2]},""burn_damage_per_s"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""hp/s"",""per_level"":true,""value"":[6,8,10,12,15]},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""CONTACT""},""magnitude_field"":{""type"":""ENUM"",""value"":""contact_damage""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""OWNER""},""trigger"":{""type"":""ENUM"",""value"":""ON_CONTACT_INTERNAL_CD""}},{""event_id"":{""type"":""ENUM"",""value"":""CONTACT_BURN""},""magnitude_field"":{""type"":""ENUM"",""value"":""burn_damage_per_s""},""damage_form"":{""type"":""ENUM"",""value"":""DOT""},""hit_kind"":{""type"":""ENUM"",""value"":""PERIODIC""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""OWNER""},""trigger"":{""type"":""ENUM"",""value"":""APPLIED_ON_CONTACT_COMMIT""}}]},""summon_archetype"":{""type"":""ENUM"",""value"":""FIRE_SPIRIT""},""summon_stat_authority"":{""type"":""REF"",""value"":""E.34唯一权威；本载荷内数值须与E.34字节级一致""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""f0cba28d9fcfc079a4d792d7369dbf38cf9ee66ddccda982a65ba51775a50063""}}"
B14	"{""passive_id"":{""type"":""ENUM"",""value"":""B14""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[10,12,14,16,20]},""damage"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""hp"",""per_level"":true,""value"":[60,80,100,120,150]},""projectile_speed_mps"":{""type"":""INT64"",""value"":30,""unit"":""m/s""},""l5_can_crit"":{""type"":""BOOL"",""value"":true},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""ARROW""},""magnitude_field"":{""type"":""ENUM"",""value"":""damage""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""OWNER""},""trigger"":{""type"":""ENUM"",""value"":""ON_PROC_COMMIT""}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""0ad39697e58f7b5edfd20490948db120e9d6aef7f5eaa38b681b1496762a45a3""}}"
B15	"{""passive_id"":{""type"":""ENUM"",""value"":""B15""},""category"":{""type"":""ENUM"",""value"":""生存类""},""trigger"":{""type"":""ENUM"",""value"":""INCOMING_BASIC_PRE_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[10,13,16,20,25]},""result"":{""type"":""ENUM"",""value"":""DODGE_ZERO_DAMAGE""},""l5_move_speed_percent"":{""type"":""INT64"",""value"":30,""unit"":""pct""},""l5_duration_s"":{""type"":""INT64"",""value"":2,""unit"":""s""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""0aa523744640773c8ade8da04e834d858177d2cceab29a32152acee2892c2eac""}}"
B16	"{""passive_id"":{""type"":""ENUM"",""value"":""B16""},""category"":{""type"":""ENUM"",""value"":""生存类""},""trigger"":{""type"":""ENUM"",""value"":""INCOMING_BASIC_FIXED_REDUCTION""},""reduction"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""scalar"",""per_level"":true,""value"":[6,10,14,18,25]},""minimum_final_damage"":{""type"":""INT64"",""value"":1,""unit"":""hp""},""l5_full_block_chance"":{""type"":""INT64"",""value"":10,""unit"":""scalar""},""l5_block_order"":{""type"":""ENUM"",""value"":""AFTER_B15_BEFORE_B17""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""577abb686d4d965820ec480fcf7423022b5f4226dd17ce71332e10bc5ac0303c""}}"
B17	"{""passive_id"":{""type"":""ENUM"",""value"":""B17""},""category"":{""type"":""ENUM"",""value"":""生存类""},""trigger"":{""type"":""ENUM"",""value"":""INCOMING_BASIC_PROC_PRE_DAMAGE""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[8,10,13,16,20]},""shield"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""hp"",""per_level"":true,""value"":[60,80,100,130,160]},""duration_s"":{""type"":""INT64"",""value"":10,""unit"":""s""},""absorbs_triggering_hit"":{""type"":""BOOL"",""value"":true},""l5_break_aoe_damage"":{""type"":""INT64"",""value"":100,""unit"":""hp""},""l5_break_aoe_radius_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""BREAK_AOE""},""magnitude_field"":{""type"":""ENUM"",""value"":""l5_break_aoe_damage""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""OWNER""},""trigger"":{""type"":""ENUM"",""value"":""ON_SHIELD_BREAK_L5""}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""b4457ce4e567ad1ac49d0ddfcb7c36ad20c36d65268d5054e679018b1657d720""}}"
B18	"{""passive_id"":{""type"":""ENUM"",""value"":""B18""},""category"":{""type"":""ENUM"",""value"":""生存类""},""trigger"":{""type"":""ENUM"",""value"":""MISSING_HP_SCALING""},""attack_percent_per_missing_10pct_hp"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""hp"",""per_level"":true,""value"":[3,4,5,6,8]},""step_rounding"":{""type"":""FORMULA"",""src"":""FLOOR(MISSING_HP_PERCENT/10)"",""ast"":{""op"":""FLOOR"",""args"":[{""op"":""DIV_FLOOR"",""args"":[{""var"":""MISSING_HP_PERCENT""},{""q4"":100000}]}]}},""l5_below_hp_percent"":{""type"":""INT64"",""value"":30,""unit"":""pct""},""l5_lifesteal_percent"":{""type"":""INT64"",""value"":10,""unit"":""pct""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""0ac1c9e9cc886a86cf020ea601c34da06db5cfe9be72f1fd2d88910657ff3cdd""}}"
B19	"{""passive_id"":{""type"":""ENUM"",""value"":""B19""},""category"":{""type"":""ENUM"",""value"":""生存类""},""trigger"":{""type"":""ENUM"",""value"":""LETHAL_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[5,6,7,8,10]},""heal_max_hp_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[10,12,15,18,20]},""l5_random_blink"":{""type"":""BOOL"",""value"":true},""random_blink_distance_m"":{""type"":""INT64"",""value"":8,""unit"":""m""},""blink_rng_stream"":{""type"":""ENUM"",""value"":""COMBAT_PROC""},""blink_direction_draw"":{""type"":""ENUM"",""value"":""SINGLE_DRAW_EIGHT_DIRECTIONS""},""blink_destination"":{""type"":""ENUM"",""value"":""FARTHEST_LEGAL_POINT_ALONG_DIRECTION""},""all_points_illegal"":{""type"":""ENUM"",""value"":""NO_BLINK_NO_REDRAW""},""post_success_retrigger_lock_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""21fc2b2ba28e45961ba7c66c6c06d0709c04773eda85903823627de89a0b743f""}}"
B20	"{""passive_id"":{""type"":""ENUM"",""value"":""B20""},""category"":{""type"":""ENUM"",""value"":""生存类""},""trigger"":{""type"":""ENUM"",""value"":""LETHAL_PROTECTION_ONCE_MATCH""},""heal_max_hp_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[25,30,35,40,50]},""charge"":{""type"":""INT64"",""value"":1,""unit"":""scalar""},""consume_life"":{""type"":""BOOL"",""value"":false},""l5_buff_s"":{""type"":""INT64"",""value"":5,""unit"":""s""},""l5_damage_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":13000,""human"":""1.3"",""unit"":""ratio""},""l5_control_immune"":{""type"":""BOOL"",""value"":true},""charge_ledger_key"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""B20"",""MATCH_ID"",""PLAYER_ID""]},""removed_or_reacquired_does_not_restore"":{""type"":""BOOL"",""value"":true},""hero_swap_does_not_restore"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""4815fee33780f4a1d7ea5883b572a4c116ce6ef5cbf2f48aa03548ff431498c0""}}"
B21	"{""passive_id"":{""type"":""ENUM"",""value"":""B21""},""category"":{""type"":""ENUM"",""value"":""生存类""},""trigger"":{""type"":""ENUM"",""value"":""OUT_OF_ANY_COMBAT_REGEN""},""delay_s"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""s"",""per_level"":true,""value"":[5,5,4,4,3]},""hp_per_s"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""hp/s"",""per_level"":true,""value"":[4,6,8,10,15]},""l5_first_basic_damage_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":13000,""human"":""1.3"",""unit"":""ratio""},""first_basic_consumes_bonus"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""47ea709c1b9e49ce18ec62014446b11c6d136a7faaf46f95658e4dc3c5cefda1""}}"
B22	"{""passive_id"":{""type"":""ENUM"",""value"":""B22""},""category"":{""type"":""ENUM"",""value"":""反击类""},""trigger"":{""type"":""ENUM"",""value"":""POST_INCOMING_BASIC_REFLECT""},""actual_hp_plus_shield_damage_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[10,13,16,20,25]},""cannot_trigger_reflect"":{""type"":""BOOL"",""value"":true},""l5_can_crit"":{""type"":""BOOL"",""value"":true},""l5_crit_uses_owner_crit_snapshot_without_triggering_proc"":{""type"":""BOOL"",""value"":true},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""REFLECT""},""magnitude_field"":{""type"":""ENUM"",""value"":""actual_hp_plus_shield_damage_percent""},""damage_form"":{""type"":""ENUM"",""value"":""REFLECT""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""element_rule"":{""type"":""ENUM"",""value"":""NONE""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""OWNER""},""trigger"":{""type"":""ENUM"",""value"":""POST_INCOMING_BASIC""}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""f65e19874d2bfa2c045511c02455d7d26dafe6d6881b9ef5c9458c26f5f66aae""}}"
