模板	等级	攻击	生命	移速	射程m	攻速次每秒	该级DPS
刺客·飞行	11	121	829	349	5	1.4	169.4
刺客·飞行	12	130	894	354	5	1.4	182.0
刺客·飞行	13	139	963	359	5	1.4	194.6
刺客·飞行	14	149	1039	365	5	1.4	208.6
刺客·飞行	15	160	1120	370	5	1.4	224.0
战士	1	52	627	276	5	1.1	57.2
战士	2	56	676	281	5	1.1	61.6
战士	3	60	729	285	5	1.1	66.0
战士	4	65	786	289	5	1.1	71.5
战士	5	69	848	293	5	1.1	75.9
战士	6	74	914	298	5	1.1	81.4
战士	7	80	985	302	5	1.1	88.0
战士	8	86	1063	307	5	1.1	94.6
战士	9	92	1146	311	5	1.1	101.2
战士	10	98	1235	316	5	1.1	107.8
战士	11	106	1332	320	5	1.1	116.6
战士	12	113	1436	325	5	1.1	124.3
战士	13	122	1548	330	5	1.1	134.2
战士	14	130	1669	335	5	1.1	143.0
战士	15	140	1800	340	5	1.1	154.0
坦克	1	37	767	244	5	0.9	33.3
坦克	2	40	827	248	5	0.9	36.0
坦克	3	43	891	251	5	0.9	38.7
坦克	4	46	961	255	5	0.9	41.4
坦克	5	49	1036	259	5	0.9	44.1
坦克	6	53	1117	263	5	0.9	47.7
坦克	7	57	1204	267	5	0.9	51.3
坦克	8	61	1299	271	5	0.9	54.9
坦克	9	66	1400	275	5	0.9	59.4
坦克	10	70	1510	279	5	0.9	63.0
坦克	11	75	1628	283	5	0.9	67.5
坦克	12	81	1755	287	5	0.9	72.9
坦克	13	87	1892	291	5	0.9	78.3
坦克	14	93	2040	296	5	0.9	83.7
坦克	15	100	2200	300	5	0.9	90.0
