节点	X	Y	Z	属性
N176	-130.9	-274.5	0	region_id=REGION_LOST_SOUL_FIELD
N177	65	-230.5	0	region_id=REGION_CENTIPEDE_CITY
N178	-72.2	70.6	0	region_id=REGION_BROKEN_GOLD
N179	-90.9	9.3	0	region_id=REGION_SPIDER_GORGE
N180	106.3	122.6	0	region_id=REGION_DRAGON_RIDGE
N181	125	58.6	0	region_id=REGION_DRAGON_RIDGE
N182	130.3	-14.7	0	region_id=REGION_BURNING_WATER
N183	122.3	-97.3	0	region_id=REGION_CENTIPEDE_CITY
N184	255.6	144.5	0	region_id=REGION_DRAGON_RIDGE
N185	274.2	34	0	region_id=REGION_BURNING_WATER
N186	279.6	-64	0	region_id=REGION_BURNING_WATER
N187	271.6	-149.2	0	region_id=REGION_CENTIPEDE_CITY
N188	83.7	182.6	0	region_id=REGION_DRAGON_RIDGE
N189	80.1	169	0	region_id=REGION_DRAGON_RIDGE
N190	153	163.9	0	region_id=REGION_DRAGON_RIDGE
N191	149.3	150.4	0	region_id=REGION_DRAGON_RIDGE
