槽ID	源标签	类型	圈层	巢穴	主坐标	3迁移位	region_id
MAP_MONSTER_SLOT_030	MEL029	MEL	MIDDLE	MAP_NEST_061	-49.6 / -186.6	-21.5 / -201.9；-85.5 / -208.2；-50.2 / -134.5	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_031	MEL030	MEL	MIDDLE	MAP_NEST_062	-188.1 / -127.9	-160.1 / -143.3；-224.1 / -149.6；-188.8 / -75.9	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_032	MEL031	MEL	MIDDLE	MAP_NEST_063	187.6 / 154.6	215.7 / 139.2；151.6 / 132.9；187 / 206.6	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_033	MEL032	MEL	OUTER	MAP_NEST_064	283.6 / -21.3	311.6 / -36.7；247.6 / -43；282.9 / 30.7	REGION_BURNING_WATER
MAP_MONSTER_SLOT_034	MEL033	MEL	INNER	MAP_NEST_065	-70.9 / 58.6	-42.8 / 43.3；-106.9 / 37；-71.5 / 110.7	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_035	MEL034	MEL	OUTER	MAP_NEST_066	267.6 / -191.9	295.7 / -207.2；231.6 / -213.5；266.9 / -139.9	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_036	MEL035	MEL	MIDDLE	MAP_NEST_067	118.3 / -138.6	146.4 / -153.9；82.3 / -160.2；117.7 / -86.6	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_037	MEL036	MEL	MIDDLE	MAP_NEST_068	235.6 / -74.6	263.7 / -90；199.6 / -96.3；234.9 / -22.6	REGION_BURNING_WATER
MAP_MONSTER_SLOT_038	MEL037	MEL	OUTER	MAP_NEST_069	272.9 / 106.6	301 / 91.2；236.9 / 85；272.3 / 158.6	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_039	MEL038	MEL	INNER	MAP_NEST_070	-100.2 / -21.3	-72.1 / -36.7；-136.2 / -43；-100.8 / 30.7	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_040	MEL039	MEL	MIDDLE	MAP_NEST_071	-44.2 / 231.9	-16.1 / 216.5；-80.2 / 210.2；-44.9 / 283.9	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_041	MEL040	MEL	MIDDLE	MAP_NEST_001	-125.8 / -66.7	-156.1 / -90.3；-155 / -58.3；-140.9 / -86.8	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_042	MEL041	MEL	MIDDLE	MAP_NEST_002	-164.4 / 117.6	-107.9 / 119.3；-150.6 / 158.6；-193.7 / 140	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_043	MEL042	MEL	MIDDLE	MAP_NEST_002	-165.1 / 112.7	-192.1 / 151.3；-200.9 / 138；-173.1 / 146	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_044	MEL043	MEL	MIDDLE	MAP_NEST_002	-150.4 / 104.7	-181.2 / 80.4；-191.8 / 108；-190.5 / 142.7	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_045	MEL044	MEL	MIDDLE	MAP_NEST_003	-231.1 / 102.5	-271.4 / 121.8；-269.9 / 103.3；-261.9 / 76.1	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_046	MEL045	MEL	MIDDLE	MAP_NEST_003	-236.2 / 100.7	-188.6 / 136.9；-246 / 155.6；-264.5 / 117.2	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_047	MEL046	MEL	MIDDLE	MAP_NEST_003	-242.7 / 105.7	-178.8 / 121.9；-244.7 / 75.1；-248.2 / 86.9	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_048	MEL047	MEL	MIDDLE	MAP_NEST_004	-220 / 15.9	-192.3 / 33.6；-195.1 / -16.3；-261 / 20.4	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_049	MEL048	MEL	INNER	MAP_NEST_005	-60.8 / -19	-62 / 19.8；-75.6 / 16.1；-68.4 / -53.8	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_050	MEL049	MEL	INNER	MAP_NEST_005	-48.6 / -19.3	-10.8 / -43.7；-46.2 / 14；-69.5 / 25.5	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_051	MEL050	MEL	INNER	MAP_NEST_006	75.5 / -28.6	114.9 / -52.3；68.2 / 10；70.5 / 23.2	REGION_BURNING_WATER
MAP_MONSTER_SLOT_052	MEL051	MEL	INNER	MAP_NEST_006	80.6 / -24.9	54.5 / 15.6；66.4 / -54；46.5 / -13.5	REGION_BURNING_WATER
MAP_MONSTER_SLOT_053	MEL052	MEL	INNER	MAP_NEST_006	79.5 / -12.7	106.7 / -62.6；96.6 / 22.6；82.3 / -64.7	REGION_BURNING_WATER
MAP_MONSTER_SLOT_054	MEL053	MEL	INNER	MAP_NEST_007	-9.9 / 50.5	5.8 / 7.1；-37.9 / 4.9；-55.9 / 52.7	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_055	MEL054	MEL	INNER	MAP_NEST_007	-31.4 / 37.4	-52.9 / 14.1；-48.9 / 48.9；-63.3 / 43.1	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_056	MEL055	MEL	INNER	MAP_NEST_008	76.2 / 44.9	76.8 / -12.5；114.9 / 32；41.9 / 65.4	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_057	MEL056	MEL	INNER	MAP_NEST_008	76.6 / 48.1	112.6 / 19.4；41.2 / 25.8；69 / -19.8	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_058	MEL057	MEL	INNER	MAP_NEST_008	73.7 / 43.7	79.3 / 4.4；59.9 / 6.8；112.1 / 24.5	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_059	RNG000	RNG	OUTER	MAP_NEST_009	311.3 / 152.8	307.1 / 195.7；298.8 / 194；275 / 149	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_060	RNG001	RNG	OUTER	MAP_NEST_009	302.2 / 167.2	336.5 / 184.6；313.6 / 198.9；313 / 191.6	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_061	RNG002	RNG	OUTER	MAP_NEST_010	209.4 / 185.6	174.8 / 192.7；186.3 / 147.8；260.9 / 174.9	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_062	RNG003	RNG	OUTER	MAP_NEST_010	205.5 / 176.5	253.8 / 187；186.9 / 138.6；251.3 / 158.5	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_063	RNG004	RNG	OUTER	MAP_NEST_010	204.8 / 178.5	227.1 / 226.8；194.9 / 156.3；257 / 177.5	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_064	RNG005	RNG	OUTER	MAP_NEST_011	223 / -167.5	254.2 / -115.4；181.8 / -166.8；185.6 / -150	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_065	RNG006	RNG	OUTER	MAP_NEST_011	247.6 / -159.1	183.3 / -159.6；253.9 / -118.7；284.9 / -172.7	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_066	RNG007	RNG	OUTER	MAP_NEST_011	236.4 / -171.4	215.5 / -191.4；285.5 / -154.4；196 / -179.1	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_067	RNG008	RNG	OUTER	MAP_NEST_012	265.7 / 35.6	320.5 / 43.8；252.7 / -9.6；239.9 / 57	REGION_BURNING_WATER
MAP_MONSTER_SLOT_068	RNG009	RNG	OUTER	MAP_NEST_012	265.1 / 35.9	299.9 / 61.6；304.5 / 54.2；234.6 / 65.3	REGION_BURNING_WATER
MAP_MONSTER_SLOT_069	RNG010	RNG	OUTER	MAP_NEST_012	285.8 / 33.2	250.1 / 76.5；231.5 / 16.3；277.7 / 69.7	REGION_BURNING_WATER
MAP_MONSTER_SLOT_070	RNG011	RNG	OUTER	MAP_NEST_013	-252.6 / 77.8	-215.8 / 49.8；-292.4 / 46.4；-307.1 / 78.3	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_071	RNG012	RNG	OUTER	MAP_NEST_013	-257.3 / 58.6	-218.9 / 88.6；-289.3 / 66；-307.6 / 86.6	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_072	RNG013	RNG	OUTER	MAP_NEST_013	-266.7 / 67.4	-215.9 / 51；-296.1 / 71.3；-289.5 / 70.5	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_073	RNG014	RNG	OUTER	MAP_NEST_014	346.4 / 147.5	347.6 / 173.7；311 / 99.8；341.3 / 176	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_074	RNG015	RNG	OUTER	MAP_NEST_014	341.9 / 130.7	350.1 / 186.3；303.1 / 137.3；308.3 / 129	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_075	RNG016	RNG	OUTER	MAP_NEST_015	270.1 / 147.2	281.4 / 129；255.5 / 103.6；209.1 / 126	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_076	RNG017	RNG	OUTER	MAP_NEST_015	252.9 / 132.9	280.7 / 125；247.1 / 99.1；227.4 / 188.5	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_077	RNG018	RNG	OUTER	MAP_NEST_016	257.1 / 146.4	224.7 / 98.1；250.2 / 180.6；198.3 / 132.8	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_078	RNG019	RNG	OUTER	MAP_NEST_016	247.4 / 133.7	270.6 / 191；247.7 / 90.9；235.4 / 100.3	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_079	RNG020	RNG	MIDDLE	MAP_NEST_017	-84.4 / -158.1	-24.6 / -154.8；-87 / -192.1；-64.8 / -128.9	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_080	RNG021	RNG	MIDDLE	MAP_NEST_017	-81.8 / -161.5	-122.8 / -172.2；-101.5 / -126.3；-96.6 / -127.1	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_081	RNG022	RNG	MIDDLE	MAP_NEST_017	-70.5 / -153.8	-119.4 / -141.8；-26.9 / -136.6；-39.1 / -148.5	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_082	RNG023	RNG	MIDDLE	MAP_NEST_018	-95.9 / -172.5	-84.1 / -202.9；-80 / -213.8；-126 / -211.1	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_083	RNG024	RNG	MIDDLE	MAP_NEST_018	-101.5 / -172.5	-118.4 / -122.3；-79 / -209.6；-154.6 / -170.8	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_084	RNG025	RNG	MIDDLE	MAP_NEST_018	-92 / -161.5	-148.1 / -181.3；-148.6 / -149.7；-75.7 / -202.2	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_085	RNG026	RNG	MIDDLE	MAP_NEST_019	136.8 / -24.6	96 / 5.6；166.6 / 12；169.4 / 19	REGION_BURNING_WATER
MAP_MONSTER_SLOT_086	RNG027	RNG	MIDDLE	MAP_NEST_019	143.8 / -11	87.7 / -48.8；114 / -47；119.4 / 15.9	REGION_BURNING_WATER
MAP_MONSTER_SLOT_087	RNG028	RNG	MIDDLE	MAP_NEST_019	125.6 / -5.4	100.2 / -24.7；134.6 / -45.3；77.7 / -20.6	REGION_BURNING_WATER
MAP_MONSTER_SLOT_088	RNG029	RNG	MIDDLE	MAP_NEST_020	245.8 / -16	197.7 / -20.6；203.1 / -64；274.9 / 2.7	REGION_BURNING_WATER
MAP_MONSTER_SLOT_089	RNG030	RNG	MIDDLE	MAP_NEST_020	226.7 / -33.4	279.9 / -11.7；284.1 / 4.4；196.6 / -40.3	REGION_BURNING_WATER
MAP_MONSTER_SLOT_090	RNG031	RNG	MIDDLE	MAP_NEST_020	224.4 / -23.8	217.5 / -53.7；207.9 / -53.1；183.8 / -30.4	REGION_BURNING_WATER
MAP_MONSTER_SLOT_091	RNG032	RNG	INNER	MAP_NEST_021	-41.8 / -116.8	-3 / -133.7；-1.9 / -102.8；-84.6 / -109.4	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_092	RNG033	RNG	INNER	MAP_NEST_021	-36 / -114.9	-67.1 / -81.2；-60.2 / -167.2；-73.2 / -156.2	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_093	RNG034	RNG	INNER	MAP_NEST_021	-55 / -132.1	-8.4 / -117.4；-61.4 / -166.2；-96.3 / -135.1	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_094	RNG035	RNG	INNER	MAP_NEST_022	84.7 / 44.5	87.1 / 5.9；42.5 / 31.7；101.5 / -4.4	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_095	RNG036	RNG	INNER	MAP_NEST_022	85.8 / 43.4	41.1 / 37.7；67.7 / 66.2；39.5 / 30.6	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_096	RNG037	RNG	INNER	MAP_NEST_022	65.8 / 25.4	44.4 / 27.9；79 / -8.6；119.9 / 61.8	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_097	FLY000	FLY	MIDDLE	MAP_NEST_023	2.1 / 202.4	-8.1 / 181.9；-49 / 218.3；-4.7 / 168.9	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_098	FLY001	FLY	MIDDLE	MAP_NEST_024	-170.3 / 167.1	-208.1 / 180.6；-151.2 / 131.1；-118.2 / 147.6	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_099	FLY002	FLY	MIDDLE	MAP_NEST_025	-123.5 / -44.6	-138.4 / -16.1；-121.6 / -7；-86.6 / -33.4	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_100	FLY003	FLY	MIDDLE	MAP_NEST_025	-127.5 / -63.6	-159.9 / -76.9；-158.5 / -63.5；-99.7 / -12	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_101	FLY004	FLY	MIDDLE	MAP_NEST_026	131.4 / -99.6	88.4 / -94.2；80.6 / -105.2；89.2 / -99.8	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_102	FLY005	FLY	MIDDLE	MAP_NEST_026	109.4 / -93	89.9 / -112.6；138.6 / -123；147.4 / -119.1	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_103	FLY006	FLY	MIDDLE	MAP_NEST_027	-114 / 192.2	-87.6 / 251.2；-67.6 / 211.4；-91.7 / 244	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_104	FLY007	FLY	MIDDLE	MAP_NEST_028	-39.3 / -134.3	-27 / -169；-78.4 / -168.1；-28.1 / -181.6	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_105	FLY008	FLY	OUTER	MAP_NEST_029	-275.2 / -36.8	-266.6 / -62.2；-282.4 / -78.5；-315.7 / -54	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_106	FLY009	FLY	OUTER	MAP_NEST_030	293.8 / -64.8	255.9 / -53.4；327.9 / -22.2；331.9 / -45	REGION_BURNING_WATER
MAP_MONSTER_SLOT_107	FLY010	FLY	OUTER	MAP_NEST_030	292.3 / -48.9	335.1 / -55.7；343.6 / -89.2；311.7 / -84.1	REGION_BURNING_WATER
MAP_MONSTER_SLOT_108	FLY011	FLY	OUTER	MAP_NEST_031	-266.3 / 0.5	-279.6 / -41.2；-227.3 / 13.3；-292.9 / -37.3	REGION_SPIDER_GORGE
