边ID	A	B	类型	宽m	长m	Nav	方向
MAP_EDGE_0028	N064	N000	DEN	5	47.2	是	BIDIRECTIONAL
MAP_EDGE_0029	N065	N048	DEN	5	39.6	是	BIDIRECTIONAL
MAP_EDGE_0030	N066	N033	DEN	5	24.6	是	BIDIRECTIONAL
MAP_EDGE_0031	N067	N042	DEN	5	44.4	是	BIDIRECTIONAL
MAP_EDGE_0032	N068	N019	DEN	5	40.6	是	BIDIRECTIONAL
MAP_EDGE_0033	N069	N021	DEN	5	32.2	是	BIDIRECTIONAL
MAP_EDGE_0034	N070	N044	DEN	5	32.4	是	BIDIRECTIONAL
MAP_EDGE_0035	N071	N047	DEN	5	49.1	是	BIDIRECTIONAL
MAP_EDGE_0036	N072	N029	DEN	5	38.2	是	BIDIRECTIONAL
MAP_EDGE_0037	N073	N038	DEN	5	37.3	是	BIDIRECTIONAL
MAP_EDGE_0038	N074	N020	DEN	5	51.7	是	BIDIRECTIONAL
MAP_EDGE_0039	N075	N046	DEN	5	39.6	是	BIDIRECTIONAL
MAP_EDGE_0040	N076	N007	ARENA	8	82.3	是	BIDIRECTIONAL
MAP_EDGE_0041	N076	N006	ARENA	8	93.3	是	BIDIRECTIONAL
MAP_EDGE_0042	N076	N009	ARENA	8	185.8	是	BIDIRECTIONAL
MAP_EDGE_0043	N077	N042	ARENA	8	16	是	BIDIRECTIONAL
MAP_EDGE_0044	N077	N020	ARENA	8	94.6	是	BIDIRECTIONAL
MAP_EDGE_0045	N077	N008	ARENA	8	102.6	是	BIDIRECTIONAL
MAP_EDGE_0046	N078	N040	ARENA	8	27.2	是	BIDIRECTIONAL
MAP_EDGE_0047	N078	N023	ARENA	8	66.6	是	BIDIRECTIONAL
MAP_EDGE_0048	N078	N051	ARENA	8	90.8	是	BIDIRECTIONAL
MAP_EDGE_0049	N079	N024	ARENA	8	37.7	是	BIDIRECTIONAL
MAP_EDGE_0050	N079	N025	ARENA	8	54.9	是	BIDIRECTIONAL
MAP_EDGE_0051	N079	N044	ARENA	8	85.8	是	BIDIRECTIONAL
MAP_EDGE_0052	N080	N028	ARENA	8	16.2	是	BIDIRECTIONAL
MAP_EDGE_0053	N080	N029	ARENA	8	76.4	是	BIDIRECTIONAL
MAP_EDGE_0054	N080	N027	ARENA	8	84.1	是	BIDIRECTIONAL
MAP_EDGE_0055	N081	N039	ARENA	8	21.3	是	BIDIRECTIONAL
MAP_EDGE_0056	N081	N003	ARENA	8	67.8	是	BIDIRECTIONAL
MAP_EDGE_0057	N034	N006	ARENA	8	60.8	是	BIDIRECTIONAL
MAP_EDGE_0058	N034	N052	ARENA	8	86.8	是	BIDIRECTIONAL
MAP_EDGE_0059	N082	N036	ARENA	8	40	是	BIDIRECTIONAL
MAP_EDGE_0060	N082	N024	ARENA	8	56.5	是	BIDIRECTIONAL
MAP_EDGE_0061	N037	N042	ARENA	8	70.4	是	BIDIRECTIONAL
MAP_EDGE_0062	N037	N007	ARENA	8	86	是	BIDIRECTIONAL
MAP_EDGE_0063	N083	N001	SHOP	6	6.1	是	BIDIRECTIONAL
MAP_EDGE_0064	N083	N002	SHOP	6	65.6	是	BIDIRECTIONAL
MAP_EDGE_0065	N084	N003	SHOP	6	20	是	BIDIRECTIONAL
MAP_EDGE_0066	N084	N032	SHOP	6	62.3	是	BIDIRECTIONAL
MAP_EDGE_0067	N085	N006	SHOP	6	47.5	是	BIDIRECTIONAL
MAP_EDGE_0068	N085	N034	SHOP	6	47.5	是	BIDIRECTIONAL
MAP_EDGE_0069	N086	N009	SHOP	6	63	是	BIDIRECTIONAL
MAP_EDGE_0070	N086	N042	SHOP	6	80.4	是	BIDIRECTIONAL
MAP_EDGE_0071	N087	N011	SHOP	6	36.8	是	BIDIRECTIONAL
MAP_EDGE_0072	N087	N012	SHOP	6	47.4	是	BIDIRECTIONAL
MAP_EDGE_0073	N088	N051	SHOP	6	18.9	是	BIDIRECTIONAL
MAP_EDGE_0074	N088	N014	SHOP	6	42.4	是	BIDIRECTIONAL
MAP_EDGE_0075	N089	N050	SHOP	6	18.1	是	BIDIRECTIONAL
MAP_EDGE_0076	N089	N062	SHOP	6	42.9	是	BIDIRECTIONAL
MAP_EDGE_0077	N090	N043	SHOP	6	26	是	BIDIRECTIONAL
MAP_EDGE_0078	N090	N030	SHOP	6	85.5	是	BIDIRECTIONAL
MAP_EDGE_0079	N091	N022	SHOP	6	28.6	是	BIDIRECTIONAL
MAP_EDGE_0080	N091	N023	SHOP	6	62.8	是	BIDIRECTIONAL
MAP_EDGE_0081	N092	N036	SHOP	6	42.1	是	BIDIRECTIONAL
MAP_EDGE_0082	N092	N024	SHOP	6	46.9	是	BIDIRECTIONAL
MAP_EDGE_0083	N093	N026	SHOP	6	35.6	是	BIDIRECTIONAL
MAP_EDGE_0084	N093	N027	SHOP	6	44	是	BIDIRECTIONAL
MAP_EDGE_0085	N094	N029	SHOP	6	16.9	是	BIDIRECTIONAL
MAP_EDGE_0086	N094	N028	SHOP	6	66.8	是	BIDIRECTIONAL
MAP_EDGE_0087	N095	N031	SHOP	6	53.3	是	BIDIRECTIONAL
MAP_EDGE_0088	N095	N000	SHOP	6	69.3	是	BIDIRECTIONAL
MAP_EDGE_0089	N096	N016	SHOP	6	43.4	是	BIDIRECTIONAL
MAP_EDGE_0090	N096	N049	SHOP	6	56	是	BIDIRECTIONAL
MAP_EDGE_0091	N097	N020	SHOP	6	24	是	BIDIRECTIONAL
MAP_EDGE_0092	N097	N009	SHOP	6	177.9	是	BIDIRECTIONAL
MAP_EDGE_0093	N098	N025	SHOP	6	40.7	是	BIDIRECTIONAL
MAP_EDGE_0094	N098	N026	SHOP	6	82.7	是	BIDIRECTIONAL
MAP_EDGE_0095	N000	N001	SPAWN_LINK	6	95.9	是	BIDIRECTIONAL
MAP_EDGE_0096	N000	N010	SPAWN_LINK	6	237.4	是	BIDIRECTIONAL
MAP_EDGE_0097	N030	N029	SPAWN_LINK	6	72	是	BIDIRECTIONAL
MAP_EDGE_0098	N030	N043	SPAWN_LINK	6	108.2	是	BIDIRECTIONAL
MAP_EDGE_0099	N044	N045	SPAWN_LINK	6	89.4	是	BIDIRECTIONAL
MAP_EDGE_0100	N044	N022	SPAWN_LINK	6	105.1	是	BIDIRECTIONAL
MAP_EDGE_0101	N006	N054	SPAWN_LINK	6	49.9	是	BIDIRECTIONAL
MAP_EDGE_0102	N006	N007	SPAWN_LINK	6	90.6	是	BIDIRECTIONAL
MAP_EDGE_0103	N013	N014	SPAWN_LINK	6	70	是	BIDIRECTIONAL
MAP_EDGE_0104	N013	N012	SPAWN_LINK	6	77.3	是	BIDIRECTIONAL
MAP_EDGE_0105	N047	N046	SPAWN_LINK	6	58.5	是	BIDIRECTIONAL
MAP_EDGE_0106	N047	N028	SPAWN_LINK	6	187.2	是	BIDIRECTIONAL
MAP_EDGE_0107	N009	N008	SPAWN_LINK	6	90.6	是	BIDIRECTIONAL
MAP_EDGE_0108	N009	N020	SPAWN_LINK	6	175.9	是	BIDIRECTIONAL
MAP_EDGE_0109	N041	N032	SPAWN_LINK	6	51.5	是	BIDIRECTIONAL
MAP_EDGE_0110	N041	N033	SPAWN_LINK	6	67.9	是	BIDIRECTIONAL
MAP_EDGE_0111	N060	N061	SPAWN_LINK	6	33	是	BIDIRECTIONAL
MAP_EDGE_0112	N060	N063	SPAWN_LINK	6	36.3	是	BIDIRECTIONAL
MAP_EDGE_0113	N010	N011	SPAWN_LINK	6	80	是	BIDIRECTIONAL
MAP_EDGE_0114	N010	N000	SPAWN_LINK	6	237.4	是	BIDIRECTIONAL
MAP_EDGE_0115	N020	N019	SPAWN_LINK	6	73.7	是	BIDIRECTIONAL
MAP_EDGE_0116	N020	N042	SPAWN_LINK	6	104.1	是	BIDIRECTIONAL
MAP_EDGE_0117	N056	N057	SPAWN_LINK	6	33.7	是	BIDIRECTIONAL
MAP_EDGE_0118	N056	N058	SPAWN_LINK	6	42.3	是	BIDIRECTIONAL
MAP_EDGE_0119	N021	N022	SPAWN_LINK	6	90.6	是	BIDIRECTIONAL
MAP_EDGE_0120	N021	N010	SPAWN_LINK	6	154.7	是	BIDIRECTIONAL
MAP_EDGE_0121	N037	N042	SPAWN_LINK	6	70.4	是	BIDIRECTIONAL
MAP_EDGE_0122	N037	N017	SPAWN_LINK	6	89.6	是	BIDIRECTIONAL
MAP_EDGE_0123	N002	N039	SPAWN_LINK	6	57.7	是	BIDIRECTIONAL
MAP_EDGE_0124	N002	N001	SPAWN_LINK	6	64.2	是	BIDIRECTIONAL
MAP_EDGE_0125	N026	N027	SPAWN_LINK	6	71.7	是	BIDIRECTIONAL
MAP_EDGE_0126	N026	N046	SPAWN_LINK	6	87.9	是	BIDIRECTIONAL
MAP_EDGE_0127	N053	N052	SPAWN_LINK	6	38.7	是	BIDIRECTIONAL
MAP_EDGE_0128	N053	N004	SPAWN_LINK	6	47	是	BIDIRECTIONAL
MAP_EDGE_0129	N024	N051	SPAWN_LINK	6	66.8	是	BIDIRECTIONAL
MAP_EDGE_0130	N024	N025	SPAWN_LINK	6	81.1	是	BIDIRECTIONAL
MAP_EDGE_0131	N040	N011	SPAWN_LINK	6	48	是	BIDIRECTIONAL
MAP_EDGE_0132	N040	N023	SPAWN_LINK	6	88.7	是	BIDIRECTIONAL
MAP_EDGE_0133	N043	N019	SPAWN_LINK	6	74	是	BIDIRECTIONAL
MAP_EDGE_0134	N043	N030	SPAWN_LINK	6	108.2	是	BIDIRECTIONAL
MAP_EDGE_0135	N038	N031	SPAWN_LINK	6	63.6	是	BIDIRECTIONAL
MAP_EDGE_0136	N038	N011	SPAWN_LINK	6	94.5	是	BIDIRECTIONAL
MAP_EDGE_0137	N028	N050	SPAWN_LINK	6	71.5	是	BIDIRECTIONAL
MAP_EDGE_0138	N028	N063	SPAWN_LINK	6	81.2	是	BIDIRECTIONAL
MAP_EDGE_0139	N016	N055	SPAWN_LINK	6	51.2	是	BIDIRECTIONAL
MAP_EDGE_0140	N016	N015	SPAWN_LINK	6	64.2	是	BIDIRECTIONAL
MAP_EDGE_0141	N008	N007	SPAWN_LINK	6	74.1	是	BIDIRECTIONAL
MAP_EDGE_0142	N008	N009	SPAWN_LINK	6	90.6	是	BIDIRECTIONAL
MAP_EDGE_0143	N022	N023	SPAWN_LINK	6	75.4	是	BIDIRECTIONAL
MAP_EDGE_0144	N022	N021	SPAWN_LINK	6	90.6	是	BIDIRECTIONAL
MAP_EDGE_0145	N045	N044	SPAWN_LINK	6	89.4	是	BIDIRECTIONAL
MAP_EDGE_0146	N045	N046	SPAWN_LINK	6	180.4	是	BIDIRECTIONAL
MAP_EDGE_0147	N017	N018	SPAWN_LINK	6	71.7	是	BIDIRECTIONAL
MAP_EDGE_0148	N017	N049	SPAWN_LINK	6	75.8	是	BIDIRECTIONAL
MAP_EDGE_0149	N003	N004	SPAWN_LINK	6	75.8	是	BIDIRECTIONAL
MAP_EDGE_0150	N003	N032	SPAWN_LINK	6	82.1	是	BIDIRECTIONAL
MAP_EDGE_0151	N048	N012	SPAWN_LINK	6	52.4	是	BIDIRECTIONAL
MAP_EDGE_0152	N048	N039	SPAWN_LINK	6	52.8	是	BIDIRECTIONAL
MAP_EDGE_0153	N025	N024	SPAWN_LINK	6	81.1	是	BIDIRECTIONAL
MAP_EDGE_0154	N025	N026	SPAWN_LINK	6	114.6	是	BIDIRECTIONAL
MAP_EDGE_0155	N023	N022	SPAWN_LINK	6	75.4	是	BIDIRECTIONAL
MAP_EDGE_0156	N023	N051	SPAWN_LINK	6	77.5	是	BIDIRECTIONAL
MAP_EDGE_0157	N007	N008	SPAWN_LINK	6	74.1	是	BIDIRECTIONAL
MAP_EDGE_0158	N007	N037	SPAWN_LINK	6	86	是	BIDIRECTIONAL
MAP_EDGE_0159	N019	N050	SPAWN_LINK	6	71.7	是	BIDIRECTIONAL
MAP_EDGE_0160	N019	N020	SPAWN_LINK	6	73.7	是	BIDIRECTIONAL
MAP_EDGE_0161	N035	N004	SPAWN_LINK	6	43.4	是	BIDIRECTIONAL
MAP_EDGE_0162	N035	N014	SPAWN_LINK	6	85.2	是	BIDIRECTIONAL
MAP_EDGE_0163	N029	N030	SPAWN_LINK	6	72	是	BIDIRECTIONAL
MAP_EDGE_0164	N029	N028	SPAWN_LINK	6	83.3	是	BIDIRECTIONAL
MAP_EDGE_0165	N027	N063	SPAWN_LINK	6	49.8	是	BIDIRECTIONAL
MAP_EDGE_0166	N027	N026	SPAWN_LINK	6	71.7	是	BIDIRECTIONAL
MAP_EDGE_0167	N050	N062	SPAWN_LINK	6	47	是	BIDIRECTIONAL
MAP_EDGE_0168	N050	N019	SPAWN_LINK	6	71.7	是	BIDIRECTIONAL
MAP_EDGE_0169	N042	N037	SPAWN_LINK	6	70.4	是	BIDIRECTIONAL
MAP_EDGE_0170	N042	N008	SPAWN_LINK	6	97	是	BIDIRECTIONAL
MAP_EDGE_0171	N014	N051	SPAWN_LINK	6	60.8	是	BIDIRECTIONAL
MAP_EDGE_0172	N014	N057	SPAWN_LINK	6	61.8	是	BIDIRECTIONAL
MAP_EDGE_0173	N033	N041	SPAWN_LINK	6	67.9	是	BIDIRECTIONAL
MAP_EDGE_0174	N033	N034	SPAWN_LINK	6	101.5	是	BIDIRECTIONAL
MAP_EDGE_0175	N099	N100	RAMP	5	30.6	是	BIDIRECTIONAL
MAP_EDGE_0176	N100	N101	RAMP	5	31.1	是	BIDIRECTIONAL
MAP_EDGE_0177	N099	N102	RAMP	5	31.5	是	BIDIRECTIONAL
MAP_EDGE_0178	N102	N103	RAMP	5	25.1	是	BIDIRECTIONAL
MAP_EDGE_0179	N101	N077	SIDE	5	13.3	是	BIDIRECTIONAL
MAP_EDGE_0180	N104	N105	RAMP	5	26.5	是	BIDIRECTIONAL
MAP_EDGE_0181	N105	N106	RAMP	5	26.7	是	BIDIRECTIONAL
MAP_EDGE_0182	N104	N107	RAMP	5	27.2	是	BIDIRECTIONAL
MAP_EDGE_0183	N107	N108	RAMP	5	24.6	是	BIDIRECTIONAL
MAP_EDGE_0184	N106	N105	SIDE	5	26.7	是	BIDIRECTIONAL
MAP_EDGE_0185	N109	N110	RAMP	5	22.4	是	BIDIRECTIONAL
MAP_EDGE_0186	N110	N111	RAMP	5	25.3	是	BIDIRECTIONAL
MAP_EDGE_0187	N109	N112	RAMP	5	23.4	是	BIDIRECTIONAL
MAP_EDGE_0188	N112	N113	RAMP	5	26.2	是	BIDIRECTIONAL
MAP_EDGE_0189	N111	N110	SIDE	5	25.3	是	BIDIRECTIONAL
MAP_EDGE_0190	N000	N114	MAIN	12	48	是	BIDIRECTIONAL
MAP_EDGE_0191	N114	N001	MAIN	12	48	是	BIDIRECTIONAL
MAP_EDGE_0192	N114	N083	SIDEDOOR	4.5	51.9	是	BIDIRECTIONAL
MAP_EDGE_0193	N001	N115	MAIN	12	32.1	是	BIDIRECTIONAL
MAP_EDGE_0194	N115	N002	MAIN	12	32.1	是	BIDIRECTIONAL
MAP_EDGE_0195	N115	N083	SIDEDOOR	4.5	33.7	是	BIDIRECTIONAL
MAP_EDGE_0196	N002	N116	MAIN	12	50.6	是	BIDIRECTIONAL
MAP_EDGE_0197	N116	N003	MAIN	12	50.6	是	BIDIRECTIONAL
MAP_EDGE_0198	N116	N084	SIDEDOOR	4.5	44.7	是	BIDIRECTIONAL
MAP_EDGE_0199	N003	N117	MAIN	12	37.9	是	BIDIRECTIONAL
MAP_EDGE_0200	N117	N004	MAIN	12	37.9	是	BIDIRECTIONAL
MAP_EDGE_0201	N117	N084	SIDEDOOR	4.5	57.7	是	BIDIRECTIONAL
MAP_EDGE_0202	N004	N118	MAIN	12	56	是	BIDIRECTIONAL
MAP_EDGE_0203	N118	N005	MAIN	12	56	是	BIDIRECTIONAL
MAP_EDGE_0204	N118	N052	SIDEDOOR	4.5	30.4	是	BIDIRECTIONAL
MAP_EDGE_0205	N005	N119	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0206	N119	N006	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0207	N119	N054	SIDEDOOR	4.5	18.7	是	BIDIRECTIONAL
MAP_EDGE_0208	N006	N120	MAIN	12	45.3	是	BIDIRECTIONAL
MAP_EDGE_0209	N120	N007	MAIN	12	45.3	是	BIDIRECTIONAL
MAP_EDGE_0210	N120	N085	SIDEDOOR	4.5	66.7	是	BIDIRECTIONAL
MAP_EDGE_0211	N007	N121	MAIN	12	37	是	BIDIRECTIONAL
MAP_EDGE_0212	N121	N008	MAIN	12	37	是	BIDIRECTIONAL
MAP_EDGE_0213	N121	N120	SIDEDOOR	4.5	78	是	BIDIRECTIONAL
MAP_EDGE_0214	N008	N122	MAIN	12	45.3	是	BIDIRECTIONAL
MAP_EDGE_0215	N122	N009	MAIN	12	45.3	是	BIDIRECTIONAL
MAP_EDGE_0216	N122	N121	SIDEDOOR	4.5	78.4	是	BIDIRECTIONAL
MAP_EDGE_0217	N010	N123	MAIN	12	40	是	BIDIRECTIONAL
MAP_EDGE_0218	N123	N011	MAIN	12	40	是	BIDIRECTIONAL
MAP_EDGE_0219	N123	N040	SIDEDOOR	4.5	77.7	是	BIDIRECTIONAL
MAP_EDGE_0220	N011	N124	MAIN	12	36.8	是	BIDIRECTIONAL
MAP_EDGE_0221	N124	N012	MAIN	12	36.8	是	BIDIRECTIONAL
MAP_EDGE_0222	N124	N087	SIDEDOOR	4.5	21.2	是	BIDIRECTIONAL
MAP_EDGE_0223	N012	N125	MAIN	12	38.6	是	BIDIRECTIONAL
MAP_EDGE_0224	N125	N013	MAIN	12	38.6	是	BIDIRECTIONAL
MAP_EDGE_0225	N125	N048	SIDEDOOR	4.5	56.6	是	BIDIRECTIONAL
MAP_EDGE_0226	N013	N126	MAIN	12	35	是	BIDIRECTIONAL
MAP_EDGE_0227	N126	N014	MAIN	12	35	是	BIDIRECTIONAL
MAP_EDGE_0228	N126	N088	SIDEDOOR	4.5	58.5	是	BIDIRECTIONAL
MAP_EDGE_0229	N014	N127	MAIN	12	45.3	是	BIDIRECTIONAL
MAP_EDGE_0230	N127	N015	MAIN	12	45.3	是	BIDIRECTIONAL
MAP_EDGE_0231	N127	N057	SIDEDOOR	4.5	26.8	是	BIDIRECTIONAL
MAP_EDGE_0232	N015	N128	MAIN	12	32.1	是	BIDIRECTIONAL
MAP_EDGE_0233	N128	N016	MAIN	12	32.1	是	BIDIRECTIONAL
MAP_EDGE_0234	N128	N058	SIDEDOOR	4.5	47.2	是	BIDIRECTIONAL
MAP_EDGE_0235	N016	N129	MAIN	12	50.6	是	BIDIRECTIONAL
MAP_EDGE_0236	N129	N017	MAIN	12	50.6	是	BIDIRECTIONAL
MAP_EDGE_0237	N129	N049	SIDEDOOR	4.5	48.6	是	BIDIRECTIONAL
MAP_EDGE_0238	N017	N130	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0239	N130	N018	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0240	N130	N061	SIDEDOOR	4.5	61.5	是	BIDIRECTIONAL
MAP_EDGE_0241	N018	N131	MAIN	12	48	是	BIDIRECTIONAL
MAP_EDGE_0242	N131	N019	MAIN	12	48	是	BIDIRECTIONAL
MAP_EDGE_0243	N131	N089	SIDEDOOR	4.5	36	是	BIDIRECTIONAL
MAP_EDGE_0244	N019	N132	MAIN	12	36.9	是	BIDIRECTIONAL
MAP_EDGE_0245	N132	N020	MAIN	12	36.9	是	BIDIRECTIONAL
MAP_EDGE_0246	N132	N106	SIDEDOOR	4.5	29.1	是	BIDIRECTIONAL
MAP_EDGE_0247	N021	N133	MAIN	12	45.3	是	BIDIRECTIONAL
MAP_EDGE_0248	N133	N022	MAIN	12	45.3	是	BIDIRECTIONAL
MAP_EDGE_0249	N133	N091	SIDEDOOR	4.5	49.8	是	BIDIRECTIONAL
MAP_EDGE_0250	N022	N134	MAIN	12	37.7	是	BIDIRECTIONAL
MAP_EDGE_0251	N134	N023	MAIN	12	37.7	是	BIDIRECTIONAL
MAP_EDGE_0252	N134	N091	SIDEDOOR	4.5	31	是	BIDIRECTIONAL
MAP_EDGE_0253	N023	N135	MAIN	12	41.3	是	BIDIRECTIONAL
MAP_EDGE_0254	N135	N024	MAIN	12	41.3	是	BIDIRECTIONAL
MAP_EDGE_0255	N135	N051	SIDEDOOR	4.5	59.4	是	BIDIRECTIONAL
MAP_EDGE_0256	N024	N136	MAIN	12	40.5	是	BIDIRECTIONAL
MAP_EDGE_0257	N136	N025	MAIN	12	40.5	是	BIDIRECTIONAL
MAP_EDGE_0258	N136	N079	SIDEDOOR	4.5	24	是	BIDIRECTIONAL
MAP_EDGE_0259	N025	N137	MAIN	12	57.3	是	BIDIRECTIONAL
MAP_EDGE_0260	N137	N026	MAIN	12	57.3	是	BIDIRECTIONAL
MAP_EDGE_0261	N137	N098	SIDEDOOR	4.5	31.1	是	BIDIRECTIONAL
MAP_EDGE_0262	N026	N138	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0263	N138	N027	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0264	N138	N093	SIDEDOOR	4.5	17.7	是	BIDIRECTIONAL
MAP_EDGE_0265	N027	N139	MAIN	12	42.6	是	BIDIRECTIONAL
MAP_EDGE_0266	N139	N028	MAIN	12	42.6	是	BIDIRECTIONAL
MAP_EDGE_0267	N139	N080	SIDEDOOR	4.5	43.1	是	BIDIRECTIONAL
MAP_EDGE_0268	N028	N140	MAIN	12	41.6	是	BIDIRECTIONAL
MAP_EDGE_0269	N140	N029	MAIN	12	41.6	是	BIDIRECTIONAL
MAP_EDGE_0270	N140	N094	SIDEDOOR	4.5	25.3	是	BIDIRECTIONAL
MAP_EDGE_0271	N029	N141	MAIN	12	36	是	BIDIRECTIONAL
MAP_EDGE_0272	N141	N030	MAIN	12	36	是	BIDIRECTIONAL
MAP_EDGE_0273	N141	N094	SIDEDOOR	4.5	51.5	是	BIDIRECTIONAL
MAP_EDGE_0274	N001	N142	MAIN	12	49.8	是	BIDIRECTIONAL
MAP_EDGE_0275	N142	N031	MAIN	12	49.8	是	BIDIRECTIONAL
MAP_EDGE_0276	N142	N115	SIDEDOOR	4.5	42.1	是	BIDIRECTIONAL
MAP_EDGE_0277	N031	N143	MAIN	12	50.7	是	BIDIRECTIONAL
MAP_EDGE_0278	N143	N012	MAIN	12	50.7	是	BIDIRECTIONAL
MAP_EDGE_0279	N143	N048	SIDEDOOR	4.5	39.2	是	BIDIRECTIONAL
MAP_EDGE_0280	N144	N035	SIDEDOOR	4.5	21.5	是	BIDIRECTIONAL
MAP_EDGE_0281	N014	N145	MAIN	12	53.4	是	BIDIRECTIONAL
MAP_EDGE_0282	N145	N024	MAIN	12	53.4	是	BIDIRECTIONAL
MAP_EDGE_0283	N145	N088	SIDEDOOR	4.5	26.8	是	BIDIRECTIONAL
MAP_EDGE_0284	N146	N119	SIDEDOOR	4.5	56.7	是	BIDIRECTIONAL
MAP_EDGE_0285	N147	N060	SIDEDOOR	4.5	24.1	是	BIDIRECTIONAL
MAP_EDGE_0286	N148	N042	SIDEDOOR	4.5	19.1	是	BIDIRECTIONAL
MAP_EDGE_0287	N149	N043	SIDEDOOR	4.5	50.1	是	BIDIRECTIONAL
MAP_EDGE_0288	N002	N150	MAIN	12	42.7	是	BIDIRECTIONAL
MAP_EDGE_0289	N150	N032	MAIN	12	42.7	是	BIDIRECTIONAL
MAP_EDGE_0290	N150	N116	SIDEDOOR	4.5	41	是	BIDIRECTIONAL
MAP_EDGE_0291	N032	N151	MAIN	12	57.4	是	BIDIRECTIONAL
MAP_EDGE_0292	N151	N033	MAIN	12	57.4	是	BIDIRECTIONAL
MAP_EDGE_0293	N151	N041	SIDEDOOR	4.5	18.5	是	BIDIRECTIONAL
MAP_EDGE_0294	N033	N152	MAIN	12	50.7	是	BIDIRECTIONAL
MAP_EDGE_0295	N152	N034	MAIN	12	50.7	是	BIDIRECTIONAL
MAP_EDGE_0296	N152	N110	SIDEDOOR	4.5	20.4	是	BIDIRECTIONAL
MAP_EDGE_0297	N153	N006	SIDEDOOR	4.5	28.3	是	BIDIRECTIONAL
MAP_EDGE_0298	N013	N154	MAIN	12	44.8	是	BIDIRECTIONAL
MAP_EDGE_0299	N154	N035	MAIN	12	44.8	是	BIDIRECTIONAL
MAP_EDGE_0300	N154	N144	SIDEDOOR	4.5	30.7	是	BIDIRECTIONAL
MAP_EDGE_0301	N035	N155	MAIN	12	54.4	是	BIDIRECTIONAL
MAP_EDGE_0302	N155	N016	MAIN	12	54.4	是	BIDIRECTIONAL
MAP_EDGE_0303	N155	N055	SIDEDOOR	4.5	57.2	是	BIDIRECTIONAL
MAP_EDGE_0304	N015	N156	MAIN	12	35.5	是	BIDIRECTIONAL
MAP_EDGE_0305	N156	N036	MAIN	12	35.5	是	BIDIRECTIONAL
MAP_EDGE_0306	N156	N056	SIDEDOOR	4.5	19.1	是	BIDIRECTIONAL
MAP_EDGE_0307	N036	N157	MAIN	12	53.3	是	BIDIRECTIONAL
MAP_EDGE_0308	N157	N025	MAIN	12	53.3	是	BIDIRECTIONAL
MAP_EDGE_0309	N157	N092	SIDEDOOR	4.5	15.6	是	BIDIRECTIONAL
MAP_EDGE_0310	N017	N158	MAIN	12	44.8	是	BIDIRECTIONAL
MAP_EDGE_0311	N158	N037	MAIN	12	44.8	是	BIDIRECTIONAL
