工程字段	唯一值 / 执行语义
xiuwei.track[25].reward_zh	击杀播报样式(纯外观)
xiuwei.track[26].level	27
xiuwei.track[26].realm_zh	元婴·二层
xiuwei.track[26].required_from_previous	540
xiuwei.track[26].cumulative	6060
xiuwei.track[26].reward_zh	头像框(纯外观)
xiuwei.track[27].level	28
xiuwei.track[27].realm_zh	元婴·二层
xiuwei.track[27].required_from_previous	580
xiuwei.track[27].cumulative	6640
xiuwei.track[27].reward_zh	称号(纯外观)
xiuwei.track[28].level	29
xiuwei.track[28].realm_zh	元婴·三层
xiuwei.track[28].required_from_previous	630
xiuwei.track[28].cumulative	7270
xiuwei.track[28].reward_zh	名片底纹(纯外观)
xiuwei.track[29].level	30
xiuwei.track[29].realm_zh	元婴·三层
xiuwei.track[29].required_from_previous	690
xiuwei.track[29].cumulative	7960
xiuwei.track[29].reward_zh	边框特效(纯外观)
xiuwei.track[30].level	31
xiuwei.track[30].realm_zh	化神·一层
xiuwei.track[30].required_from_previous	750
xiuwei.track[30].cumulative	8710
xiuwei.track[30].reward_zh	境界称号[化神]+专属头像框(纯外观)
xiuwei.track[31].level	32
xiuwei.track[31].realm_zh	化神·一层
xiuwei.track[31].required_from_previous	810
xiuwei.track[31].cumulative	9520
xiuwei.track[31].reward_zh	头像框(纯外观)
xiuwei.track[32].level	33
xiuwei.track[32].realm_zh	化神·二层
xiuwei.track[32].required_from_previous	880
xiuwei.track[32].cumulative	10400
xiuwei.track[32].reward_zh	称号(纯外观)
xiuwei.track[33].level	34
xiuwei.track[33].realm_zh	化神·二层
xiuwei.track[33].required_from_previous	950
xiuwei.track[33].cumulative	11350
xiuwei.track[33].reward_zh	名片底纹(纯外观)
xiuwei.track[34].level	35
xiuwei.track[34].realm_zh	化神·三层
xiuwei.track[34].required_from_previous	1030
xiuwei.track[34].cumulative	12380
xiuwei.track[34].reward_zh	边框特效(纯外观)
xiuwei.track[35].level	36
xiuwei.track[35].realm_zh	化神·三层
xiuwei.track[35].required_from_previous	1120
xiuwei.track[35].cumulative	13500
xiuwei.track[35].reward_zh	击杀播报样式(纯外观)
xiuwei.track[36].level	37
xiuwei.track[36].realm_zh	大罗·一层
xiuwei.track[36].required_from_previous	1220
xiuwei.track[36].cumulative	14720
xiuwei.track[36].reward_zh	境界称号[大罗]+专属头像框(纯外观)
xiuwei.track[37].level	38
xiuwei.track[37].realm_zh	大罗·一层
xiuwei.track[37].required_from_previous	1320
xiuwei.track[37].cumulative	16040
xiuwei.track[37].reward_zh	称号(纯外观)
xiuwei.track[38].level	39
xiuwei.track[38].realm_zh	大罗·二层
xiuwei.track[38].required_from_previous	1430
xiuwei.track[38].cumulative	17470
xiuwei.track[38].reward_zh	名片底纹(纯外观)
xiuwei.track[39].level	40
xiuwei.track[39].realm_zh	大罗·二层
xiuwei.track[39].required_from_previous	1550
xiuwei.track[39].cumulative	19020
xiuwei.track[39].reward_zh	边框特效(纯外观)
xiuwei.track[40].level	41
xiuwei.track[40].realm_zh	大罗·三层
xiuwei.track[40].required_from_previous	1690
xiuwei.track[40].cumulative	20710
xiuwei.track[40].reward_zh	击杀播报样式(纯外观)
xiuwei.track[41].level	42
xiuwei.track[41].realm_zh	大罗·三层
xiuwei.track[41].required_from_previous	1830
xiuwei.track[41].cumulative	22540
xiuwei.track[41].reward_zh	头像框(纯外观)
xiuwei.track[42].level	43
xiuwei.track[42].realm_zh	齐天·一层
xiuwei.track[42].required_from_previous	1980
xiuwei.track[42].cumulative	24520
xiuwei.track[42].reward_zh	境界称号[齐天]+专属头像框(纯外观)
xiuwei.track[43].level	44
xiuwei.track[43].realm_zh	齐天·一层
xiuwei.track[43].required_from_previous	2150
xiuwei.track[43].cumulative	26670
xiuwei.track[43].reward_zh	名片底纹(纯外观)
xiuwei.track[44].level	45
xiuwei.track[44].realm_zh	齐天·二层
xiuwei.track[44].required_from_previous	2340
xiuwei.track[44].cumulative	29010
xiuwei.track[44].reward_zh	边框特效(纯外观)
xiuwei.track[45].level	46
xiuwei.track[45].realm_zh	齐天·二层
xiuwei.track[45].required_from_previous	2540
xiuwei.track[45].cumulative	31550
xiuwei.track[45].reward_zh	击杀播报样式(纯外观)
xiuwei.track[46].level	47
xiuwei.track[46].realm_zh	齐天·三层
xiuwei.track[46].required_from_previous	2750
xiuwei.track[46].cumulative	34300
xiuwei.track[46].reward_zh	头像框(纯外观)
xiuwei.track[47].level	48
xiuwei.track[47].realm_zh	齐天·三层
xiuwei.track[47].required_from_previous	2980
xiuwei.track[47].cumulative	37280
xiuwei.track[47].reward_zh	称号(纯外观)
xiuwei.track[48].level	49
xiuwei.track[48].realm_zh	齐天·三层
xiuwei.track[48].required_from_previous	3240
xiuwei.track[48].cumulative	40520
xiuwei.track[48].reward_zh	名片底纹(纯外观)
xiuwei.track[49].level	50
xiuwei.track[49].realm_zh	齐天·三层
xiuwei.track[49].required_from_previous	3510
xiuwei.track[49].cumulative	44030
xiuwei.track[49].reward_zh	边框特效(纯外观)
collection.state_order	LOCKED / SEEN / USED / MASTERED
collection.monotonic	是
collection.rules.HERO.seen	OWN_OFFER_OR_DIRECT_VISIBLE_CUMULATIVE_1S
collection.rules.HERO.used	FORMAL_SPAWN_AND_ONE_VALID_INPUT
collection.rules.HERO.mastered	FINAL_PLACEMENT_LE_3
collection.rules.ACTIVE_EXCLUSIVE.seen	OWNED_OR_DIRECT_VISIBLE_SUCCESSFUL_CAST
collection.rules.ACTIVE_EXCLUSIVE.used	OWN_SUCCESSFUL_CAST
collection.rules.ACTIVE_EXCLUSIVE.mastered	OWN_SUCCESSFUL_CAST_AND_PLACEMENT_LE_3
collection.rules.ACTIVE_GENERIC.seen	DIRECT_VISIBLE_GROUND_OR_CAST_OR_SHOP_PREVIEW
collection.rules.ACTIVE_GENERIC.used	EQUIP_AND_SUCCESSFUL_CAST
collection.rules.ACTIVE_GENERIC.mastered	SUCCESSFUL_CAST_AND_PLACEMENT_LE_3
collection.rules.PASSIVE.seen	DIRECT_VISIBLE_BOOK_OR_REPLACE_DRAWER
collection.rules.PASSIVE.used	LEARN_LEVEL_GTE_1
collection.rules.PASSIVE.mastered	REACH_LEVEL_5
collection.rules.EQUIPMENT.seen	DIRECT_VISIBLE_GROUND_SHOP_OR_LOOT_LIST
collection.rules.EQUIPMENT.used	SUCCESSFULLY_WORN_OR_UNIQUE_EFFECT_TRIGGERED
collection.rules.EQUIPMENT.mastered	PLACEMENT_LE_3_AND(WORN_CUMULATIVE_GTE_120S_OR_UNIQUE_EFFECT_TRIGGERED)
collection.fuzzy_or_fog_information_does_not_count_seen	是
collection.reward_threshold_used_percent	25 / 50 / 75 / 100
collection.rewards_gameplay_power	否
likes.max_targets_per_match	3
likes.self	否
likes.same_target_once	是
likes.window_after_settlement_s	300
likes.withdraw	否
likes.gameplay_reward	0
likes.bot_target	NPC_STAT_ONLY
battle_reports.retain_count	20
battle_reports.story_nodes_max	8
battle_reports.story_nodes_only_from_server_events	是
