audio_id	category	owner_id	trigger	spatial	max_distance_m	max_instances	priority	duck_db	min_variants	status
SFX_ACT_H022_BUNDLE	ACTIVE_SKILL	H022	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H023_BUNDLE	ACTIVE_SKILL	H023	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H024_BUNDLE	ACTIVE_SKILL	H024	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H025_BUNDLE	ACTIVE_SKILL	H025	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H026_BUNDLE	ACTIVE_SKILL	H026	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H027_BUNDLE	ACTIVE_SKILL	H027	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H028_BUNDLE	ACTIVE_SKILL	H028	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H029_BUNDLE	ACTIVE_SKILL	H029	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H030_BUNDLE	ACTIVE_SKILL	H030	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H031_BUNDLE	ACTIVE_SKILL	H031	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H032_BUNDLE	ACTIVE_SKILL	H032	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H033_BUNDLE	ACTIVE_SKILL	H033	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H034_BUNDLE	ACTIVE_SKILL	H034	CAST/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H035_BUNDLE	ACTIVE_SKILL	H035	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H036_BUNDLE	ACTIVE_SKILL	H036	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H037_BUNDLE	ACTIVE_SKILL	H037	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H038_BUNDLE	ACTIVE_SKILL	H038	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D1_BUNDLE	ACTIVE_SKILL	D1	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D3_BUNDLE	ACTIVE_SKILL	D3	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D4_BUNDLE	ACTIVE_SKILL	D4	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D6_BUNDLE	ACTIVE_SKILL	D6	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D7_BUNDLE	ACTIVE_SKILL	D7	CAST/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D9_BUNDLE	ACTIVE_SKILL	D9	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D10_BUNDLE	ACTIVE_SKILL	D10	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D11_BUNDLE	ACTIVE_SKILL	D11	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D12_BUNDLE	ACTIVE_SKILL	D12	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D13_BUNDLE	ACTIVE_SKILL	D13	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D14_BUNDLE	ACTIVE_SKILL	D14	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D15_BUNDLE	ACTIVE_SKILL	D15	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D16_BUNDLE	ACTIVE_SKILL	D16	CAST	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D17_BUNDLE	ACTIVE_SKILL	D17	CAST	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D18_BUNDLE	ACTIVE_SKILL	D18	CAST/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D19_BUNDLE	ACTIVE_SKILL	D19	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D20_BUNDLE	ACTIVE_SKILL	D20	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D21_BUNDLE	ACTIVE_SKILL	D21	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_D22_BUNDLE	ACTIVE_SKILL	D22	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_MON_MEL_BUNDLE	MONSTER	MEL	DISCOVER/ATTACK/SKILL/HIT/DEATH	3D	20	4	MEDIUM	0	3	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_MON_RNG_BUNDLE	MONSTER	RNG	DISCOVER/ATTACK/SKILL/HIT/DEATH	3D	20	4	MEDIUM	0	3	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_MON_FLY_BUNDLE	MONSTER	FLY	DISCOVER/ATTACK/SKILL/HIT/DEATH	3D	20	4	MEDIUM	0	3	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_MON_PIG_BUNDLE	MONSTER	PIG	DISCOVER/ATTACK/SKILL/HIT/DEATH	3D	20	4	MEDIUM	0	3	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_MON_ELITE_TANK_BUNDLE	MONSTER	ELITE_TANK	DISCOVER/ATTACK/SKILL/HIT/DEATH	3D	45	4	MEDIUM	0	3	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_MON_ELITE_DPS_BUNDLE	MONSTER	ELITE_DPS	DISCOVER/ATTACK/SKILL/HIT/DEATH	3D	45	4	MEDIUM	0	3	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_MON_DRAGON_BUNDLE	MONSTER	DRAGON	DISCOVER/ATTACK/SKILL/HIT/DEATH	3D	45	4	MEDIUM	0	3	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_MON_CORE_BUNDLE	MONSTER	CORE	DISCOVER/ATTACK/SKILL/HIT/DEATH	3D	60	4	CRITICAL	-4	3	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_CONFIRM	UI	SYSTEM	UI_CONFIRM	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_CANCEL	UI	SYSTEM	UI_CANCEL	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_ERROR	UI	SYSTEM	UI_ERROR	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_PICKUP	UI	SYSTEM	UI_PICKUP	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_BOOK	UI	SYSTEM	UI_BOOK	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_EQUIP	UI	SYSTEM	UI_EQUIP	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_SHOP_BUY	UI	SYSTEM	UI_SHOP_BUY	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_SHOP_SELL	UI	SYSTEM	UI_SHOP_SELL	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_RESPAWN	UI	SYSTEM	UI_RESPAWN	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
UI_RESULT	UI	SYSTEM	UI_RESULT	2D	0	2	HIGH	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
AMB_LOBBY	AMBIENCE	SYSTEM	REGION_STATE	2D/3D	30	2	LOW	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
AMB_MAP_GENERAL	AMBIENCE	SYSTEM	REGION_STATE	2D/3D	30	2	LOW	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
AMB_DRAGON_REGION	AMBIENCE	SYSTEM	REGION_STATE	2D/3D	30	2	LOW	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
AMB_THREE_COURTS	AMBIENCE	SYSTEM	REGION_STATE	2D/3D	30	2	LOW	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
AMB_STORM	AMBIENCE	SYSTEM	REGION_STATE	2D/3D	30	2	LOW	0	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
MUS_LOBBY	MUSIC	SYSTEM	GAME_PHASE	2D	0	1	LOW	-6	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
MUS_MATCH	MUSIC	SYSTEM	GAME_PHASE	2D	0	1	LOW	-6	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
MUS_FINAL	MUSIC	SYSTEM	GAME_PHASE	2D	0	1	LOW	-6	1	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_METAL_BREATH	MONSTER_SKILL	DRAGON_METAL	DRAGON_BREATH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_METAL_TAIL	MONSTER_SKILL	DRAGON_METAL	DRAGON_TAIL	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_METAL_DASH	MONSTER_SKILL	DRAGON_METAL	DRAGON_DASH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_METAL_HIT	MONSTER_SKILL	DRAGON_METAL	ANY_HIT	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_WOOD_BREATH	MONSTER_SKILL	DRAGON_WOOD	DRAGON_BREATH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_WOOD_TAIL	MONSTER_SKILL	DRAGON_WOOD	DRAGON_TAIL	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_WOOD_DASH	MONSTER_SKILL	DRAGON_WOOD	DRAGON_DASH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_WOOD_HIT	MONSTER_SKILL	DRAGON_WOOD	ANY_HIT	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_WATER_BREATH	MONSTER_SKILL	DRAGON_WATER	DRAGON_BREATH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_WATER_TAIL	MONSTER_SKILL	DRAGON_WATER	DRAGON_TAIL	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_WATER_DASH	MONSTER_SKILL	DRAGON_WATER	DRAGON_DASH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_WATER_HIT	MONSTER_SKILL	DRAGON_WATER	ANY_HIT	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_FIRE_BREATH	MONSTER_SKILL	DRAGON_FIRE	DRAGON_BREATH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_FIRE_TAIL	MONSTER_SKILL	DRAGON_FIRE	DRAGON_TAIL	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_FIRE_DASH	MONSTER_SKILL	DRAGON_FIRE	DRAGON_DASH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_FIRE_HIT	MONSTER_SKILL	DRAGON_FIRE	ANY_HIT	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_EARTH_BREATH	MONSTER_SKILL	DRAGON_EARTH	DRAGON_BREATH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_EARTH_TAIL	MONSTER_SKILL	DRAGON_EARTH	DRAGON_TAIL	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_EARTH_DASH	MONSTER_SKILL	DRAGON_EARTH	DRAGON_DASH	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_DRAGON_EARTH_HIT	MONSTER_SKILL	DRAGON_EARTH	ANY_HIT	3D	45	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
