ID	名称	类别	触发	玩家说明	工程数值(L1–L5)
B22	反伤	反击类	POST_INCOMING_BASIC_REFLECT	1级 反弹所受普攻10% | 2级 13% | 3级 16% | 4级 20% | 5级 25%。质变：反弹伤害可暴击	actual_hp_plus_shield_damage_percent=10 / 13 / 16 / 20 / 25；cannot_trigger_reflect=是；l5_can_crit=是；l5_crit_uses_owner_crit_snapshot_without_triggering_proc=是
B23	反击	反击类	INCOMING_ACTUAL_DAMAGE_PROC	1级 6% 受击自动反击80%伤害 | 2级 8% 85% | 3级 10% 90% | 4级 13% 95% | 5级 16% 100%。质变：反击必定暴击。只对直接伤害反击，同一来源0.5秒内最多触发一次	chance=6 / 8 / 10 / 13 / 16；counter_damage_attack_coefficient=0.8 / 0.85 / 0.9 / 0.95 / 1；damage_form=REFLECT；cannot_trigger_basic_passives=是；l5_forced_critical=是；eligible_damage=DIRECT_ACTUAL_HP_OR_SHIELD_DAMAGE_ONLY；dot_and_periodic_ineligible=是；internal_cd_s=0.5；internal_cd_scope=PER_SOURCE_ENTITY
B24	化伤	反击类	POST_SKILL_DAMAGE_IF_SURVIVES	1级 受技能伤害后将其中10%转为回血 | 2级 13% | 3级 16% | 4级 20% | 5级 25%。质变：转化时将转化量的50%反弹给施法者。化伤是受到伤害后的回血，不能防止致死。	heal_percent_actual_hp_plus_shield_damage=10 / 13 / 16 / 20 / 25；cannot_prevent_lethal=是；overheal_discarded=是；l5_reflect_pre_overheal_conversion_percent=50；cannot_trigger_reflect=是；l5_reflect_amount=FLOOR(PRE_OVERHEAL_AMOUNT*0.5)；l5_reflect_target=ATTACKER_OF_TRIGGERING_DAMAGE；l5_reflect_damage_form=REFLECT；l5_reflect_cannot_recurse=是
B25	暴怒	反击类	WHEN_CRITICALLY_HIT	1级 被暴击时下次普攻+20% | 2级 28% | 3级 36% | 4级 44% | 5级 55%。质变：触发后2秒内攻速+40%	next_basic_damage_multiplier=1.2 / 1.28 / 1.36 / 1.44 / 1.55；one_charge=是；l5_attack_speed_percent=40；l5_duration_s=2；monster_cannot_crit=是
B26	背刺	战术类	DIRECT_DAMAGE_FROM_BACK_ARC	1级 从背后攻击+35% | 2级 42% | 3级 50% | 4级 58% | 5级 70%。质变：背后攻击必定暴击	back_arc_deg=120；damage_multiplier=1.35 / 1.42 / 1.5 / 1.58 / 1.7；eligible_damage_forms=BASIC；l5_forced_critical=是
B27	疾跑	战术类	INCOMING_ACTUAL_DAMAGE_PROC	1级 10% 受击移速+20% 2秒 | 2级 13% +25% | 3级 16% +30% 2.5秒 | 4级 20% +35% | 5级 25% +40% 3秒。质变：加速期间免疫减速	chance=10 / 13 / 16 / 20 / 25；move_speed_percent=20 / 25 / 30 / 35 / 40；duration_s=2 / 2 / 2.5 / 2.5 / 3；l5_slow_immune=是
B28	猎杀	战术类	LOW_HP_HUNT	1级 感知30米内残血敌人（低于30%）对其移速+15% | 2级 40米 +18% | 3级 50米 +20% | 4级 60米 +22% | 5级 80米 +25%。质变：对残血敌人伤害+20%。只追踪当前可见或已被显形的残血敌人	detect_range_m=30 / 40 / 50 / 60 / 80；target_hp_below_percent=30；move_speed_toward_target_percent=15 / 18 / 20 / 22 / 25；does_not_grant_vision=是；l5_damage_multiplier=1.2；eligible_target_information_state=VISIBLE_OR_REVEALED；hidden_unrevealed_target_grants_no_speed_or_direction_leak=是；multi_candidate_selection=NAV_PATH_DISTANCE_MM_ASC / ENTITY_ID_ASC；reselect_interval_s=0.25
B29	伏击	战术类	FIRST_DIRECT_HIT_AFTER_GAP	1级 对5秒内未受过你伤害的目标首击+25% | 2级 35% | 3级 45%时间缩为4秒 | 4级 55% | 5级 70%时间缩为3秒。质变：触发伏击时额外暴露目标视野3秒	qualification_gap_s=OWNER_OUTGOING_DIRECT_DAMAGE_GAP_S=5 / 5 / 4 / 4 / 3；damage_multiplier=1.25 / 1.35 / 1.45 / 1.55 / 1.7；eligible=BASIC / SKILL；dot_does_not_trigger=是；l5_reveal_target_s=3；trigger_requires_positive_hp_or_shield_damage=是；zero_damage_hit_does_not_consume_or_reset=是
B30	残影	战术类	MOVING_AFTERIMAGE	1级 移动每2秒留一个残影1.5秒触碰减速20% | 2级 减速25%持续2秒 | 3级 每1.5秒留一个减速30% | 4级 每1.5秒留一个持续2.5秒 | 5级 每秒留一个残影减速35%持续3秒。质变：残影被触碰时爆炸80点AOE	spawn_interval_s=2 / 2 / 1.5 / 1.5 / 1；afterimage_lifetime_s=1.5；slow_percent=20 / 25 / 30 / 30 / 35；slow_duration_s=1.5 / 2 / 2 / 2.5 / 3；l5_explosion_damage=80；l5_radius_m=3；each_enemy_triggers_each_afterimage_once=是；afterimage_visible_to=ALL；afterimage_solid=否；spawn_at=OWNER_HISTORICAL_PATH_POSITION；trigger_radius_m=0.8
B31	偷钱	经济类	BASIC_HIT_PROC_TRANSFER_GOLD	1级 6% 普攻偷30金 | 2级 8% 40金 | 3级 10% 50金 | 4级 13% 60金 | 5级 16% 80金。质变：偷金币时回复偷取额10%的生命	chance=6 / 8 / 10 / 13 / 16；gold=30 / 40 / 50 / 60 / 80；insufficient=TRANSFER_REMAINING；not_create=是；l5_heal_percent_transferred_gold=10；eligible_basic=MAIN_BASIC_ONLY；extra_basic_ineligible=是；internal_cd_s=0.4；internal_cd_scope=PER_TARGET
B32	贪婪	经济类	ON_KILL_GOLD_CREATE	1级 击杀野怪额外+40金 | 2级 +60 | 3级 +80 | 4级 +100 | 5级 +150。质变：击杀英雄也触发+250金	monster_gold=40 / 60 / 80 / 100 / 150；eligible_monsters=ORDINARY_MONSTER / FLYING_MONSTER / PIG / LEADER / DRAGON / CORE_BOSS；l5_enemy_player_true_death_gold=250；summon_kill=否
B33	寻宝	经济类	ON_MONSTER_KILL_NESTED_CHEST	1级 8%击杀野怪掉宝箱（100金） | 2级 10%（120金） | 3级 13%（120金，10%含1宝石） | 4级 16%（120金，15%含1宝石） | 5级 20%（120金，20%含1宝石，5%含G1-G9随机金装）	chest_chance=8 / 10 / 13 / 16 / 20；chest_gold=100 / 120 / 120 / 120 / 120；gem_chance=0 / 0 / 10 / 15 / 20；gold_equipment_chance=0 / 0 / 0 / 0 / 5；gold_pool=G1 / G2 / G3 / G4 / G5 / G6 / G7 / G8 / G9；summon_kill=否；nested_contents_roll_at=CHEST_SPAWN_COMMIT；contents_snapshot_immutable=是
B34	利息	经济类	SERVER_MINUTE_INTEREST	1级 每分钟获持有金币5%利息（上限300金）| 2级 6%上限400 | 3级 7%上限500 | 4级 8%上限600 | 5级 10%上限800。质变：利息上限翻倍（1600金）	percent=5 / 6 / 7 / 8 / 10；cap_gold=300 / 400 / 500 / 600 / 1600；snapshot=COMMITTED_WALLET_AT_EXACT_60S_BOUNDARY_BEFORE_INTEREST；compound=是；eligible_life_states=ALIVE / TRUE_DEATH_RESOLVING / SOUL_FLIGHT / REVIVE_PROTECTION；eliminated_ineligible=是
B35	拾荒	经济类	SELL_AND_PICKUP_ECONOMY	1级 卖装备额外+10%金 | 2级 13% | 3级 16% | 4级 20% | 5级 25%。质变：捡起地上装备时立刻获得该装备卖价的20%金币	sell_bonus_percent=10 / 13 / 16 / 20 / 25；l5_pickup_base_sell_percent=20；l5_reward_once_per_item_instance_globally=是；owner_dropped_never_rewards_same_owner=是
B36	奔腾	改规则类	CONTINUOUS_MOVEMENT_STACK	1级 移动每秒叠1层每层+1%移速最多5层停下清零 | 2级 每层1.2%最多6层 | 3级 每层1.5%最多6层 | 4级 每层1.8%最多7层 | 5级 每层2%最多8层。质变：叠满8层时普攻附带移速值20%的额外伤害	stack_interval_s=1；move_speed_percent_per_stack=1 / 1.2 / 1.5 / 1.8 / 2；max_stacks=5 / 6 / 6 / 7 / 8；clear_on=MOVE_INPUT_ZERO_OR_ACTUAL_SPEED_LT_0_1_FOR_0_2S；l5_full_stack_basic_extra_damage_move_speed_value_percent=20；extra_can_crit=是；move_speed_value_unit=GAME_MOVE_SPEED_INTEGER；l5_extra_damage_formula=FLOOR(CURRENT_GAME_MOVE_SPEED*0.20)
B37	共鸣	改规则类	OWNED_SUMMON_DEATH	1级 召唤物死亡回10血 | 2级 15血 | 3级 20血+30点AOE | 4级 25血+40点AOE | 5级 30血+50点AOE。质变：召唤物死亡效果提升50%（45血+75点AOE）。世界伤害（雷暴/陷阱等非敌对单位来源）、自然到期、替换或主人死亡清理的召唤物不触发共鸣	heal=10 / 15 / 20 / 25 / 45；aoe_damage=0 / 0 / 30 / 40 / 75；aoe_radius_m=4；l5_values_already_include_50pct_bonus=是；eligible_death_causes=HOSTILE_PLAYER_DAMAGE / HOSTILE_MONSTER_DAMAGE；ineligible_removal_causes=WORLD_DAMAGE / NATURAL_EXPIRY / REPLACEMENT / OWNER_TRUE_DEATH_CLEANUP / OWNER_ELIMINATION_CLEANUP
B38	逆境	改规则类	WHILE_HARD_CONTROLLED	1级 被控制时受伤-15% | 2级 20% | 3级 25% | 4级 30% | 5级 35%。质变：被控制时每秒回2%最大生命	incoming_damage_remaining_multiplier=0.85 / 0.8 / 0.75 / 0.7 / 0.65；l5_heal_max_hp_percent_per_s=2；soft_control_not_eligible=是；continuous_control_timer_instances=ONE_PER_OWNER；first_heal_after_s=1；overlapping_hard_control=EXTEND_CONTINUITY_NO_EXTRA_TIMER
B39	石像	改规则类	OUT_OF_ANY_COMBAT_SUMMON	1级 脱战7秒后自动召唤石像跟随250血0攻 | 2级 300血 | 3级 350血脱战缩为6秒 | 4级 400血 | 5级 500血脱战缩为5秒。质变：石像被摧毁时对周围造成120点AOE伤害	delay_s=7 / 7 / 6 / 6 / 5；statue_hp=250 / 300 / 350 / 400 / 500；statue_attack=0；follow_owner=是；one_instance=是；l5_destroy_aoe_damage=120；l5_radius_m=4；statue_move_speed_mps=3；statue_collision_radius_m=0.6；statue_collision_height_m=1.8；statue_aggro=NONE；statue_targetable=是；statue_destroy_credit=ATTACKER_ONLY_NO_REWARD；forbidden_block_sole_corridor=是；owner_block_yield_after_s=0.5；yield_fail=TEMPORARY_NO_COLLISION
B40	强韧	养成类	ON_ELIGIBLE_KILL_PERMANENT_MAX_HP	1级 每击杀+2生命无上限 | 2级 +4 | 3级 +6 | 4级 +7 | 5级 +10。质变：每击杀50个单位额外+160生命（可多次触发）	hp_per_kill=2 / 4 / 6 / 7 / 10；eligible=ORDINARY_MONSTER / FLYING_MONSTER / PIG / LEADER / DRAGON / CORE_BOSS / ENEMY_PLAYER_TRUE_DEATH；summon_kill=否；l5_every_50_kills_bonus_hp=160；no_cap=是
B41	赏金	赏金体系	ON_OWNER_TRUE_DEATH_MARK_KILLER	1级 你被击杀后击杀者头出现赏金标记90秒，任何人击杀该目标+400金 | 2级 +600金 | 3级 +800金标记持续120秒 | 4级 +1000金 | 5级 +1500金。质变：标记期间所有玩家小地图可见赏金目标大致方位	payout_gold=400 / 600 / 800 / 1000 / 1500；duration_s=90 / 90 / 120 / 120 / 120；merge=MAX_PAYOUT_MAX_DURATION；monster_killer=NO_MARK；monster_final_blow_on_mark=DESTROY_NO_PAYOUT；l5_public_minimap_direction=visible_to=ALL_NON_ELIMINATED_PLAYERS；sector_count=8；sector_zero_center_deg=0；sector_formula=FLOOR(MOD(ATAN2_DEG(target_y-viewer_y,target_x-viewer_x)+22.5+360,360)/45)；update_interval_s=3；marker=MINIMAP_EDGE_AT_SECTOR_CENTER；shows_distance=否；ends_with_mark=是
B42	悬赏	赏金体系	ON_ENEMY_BOUNTY_TARGET_TRUE_DEATH	1级 击杀带赏金标记敌人时主动技能CD-10秒 | 2级 -15秒 | 3级 -20秒 | 4级 -25秒 | 5级 -30秒。质变：击杀赏金目标后5秒内移速+40%	active_cd_reduce_s=10 / 15 / 20 / 25 / 30；minimum_remaining_s=0；l5_move_speed_percent=40；l5_duration_s=5
B43	避雷	天劫体系	NORMAL_STORM_ZONE_MODIFIER	1级 天劫区内被劈概率-20%（50%→40%）| 2级 -30%（→35%）| 3级 -40%（→30%）天劫区内移速+10% | 4级 -50%（→25%）| 5级 -60%（→20%）移速+15%。质变：天劫区内普攻伤害+10%	normal_hit_probability=0.4 / 0.35 / 0.3 / 0.25 / 0.2；move_speed_percent=0 / 0 / 10 / 10 / 15；l5_basic_damage_multiplier=1.1；does_not_change_apocalypse_probability_or_damage=是
B44	雷暴	天劫体系	BASIC_HIT_PROC	1级 8% 普攻触发落雷80点AOE（半径3米）| 2级 10% 90点 | 3级 13% 100点AOE范围4米 | 4级 16% 110点 | 5级 20% 130点AOE范围5米。质变：天劫区内触发概率1.5倍（30%）	chance=8 / 10 / 13 / 16 / 20；damage=80 / 90 / 100 / 110 / 130；radius_m=3 / 3 / 4 / 4 / 5；damage_form=SKILL；inherits_element=是；l5_normal_storm_zone_chance_multiplier=1.5；l5_zone_chance=30
