宏区ID	标签	微位ID
MAP_SPAWN_MACRO_18	R18	MAP_SPAWN_POINT:MAP_SPAWN_POINT_35；MAP_SPAWN_POINT:MAP_SPAWN_POINT_36
MAP_SPAWN_MACRO_19	R19	MAP_SPAWN_POINT:MAP_SPAWN_POINT_37；MAP_SPAWN_POINT:MAP_SPAWN_POINT_38
MAP_SPAWN_MACRO_20	R20	MAP_SPAWN_POINT:MAP_SPAWN_POINT_39；MAP_SPAWN_POINT:MAP_SPAWN_POINT_40
MAP_SPAWN_MACRO_21	R21	MAP_SPAWN_POINT:MAP_SPAWN_POINT_41；MAP_SPAWN_POINT:MAP_SPAWN_POINT_42
MAP_SPAWN_MACRO_22	R22	MAP_SPAWN_POINT:MAP_SPAWN_POINT_43；MAP_SPAWN_POINT:MAP_SPAWN_POINT_44
MAP_SPAWN_MACRO_23	R23	MAP_SPAWN_POINT:MAP_SPAWN_POINT_45；MAP_SPAWN_POINT:MAP_SPAWN_POINT_46
MAP_SPAWN_MACRO_24	R24	MAP_SPAWN_POINT:MAP_SPAWN_POINT_47；MAP_SPAWN_POINT:MAP_SPAWN_POINT_48
MAP_SPAWN_MACRO_25	R25	MAP_SPAWN_POINT:MAP_SPAWN_POINT_49；MAP_SPAWN_POINT:MAP_SPAWN_POINT_50
MAP_SPAWN_MACRO_26	R26	MAP_SPAWN_POINT:MAP_SPAWN_POINT_51；MAP_SPAWN_POINT:MAP_SPAWN_POINT_52
MAP_SPAWN_MACRO_27	R27	MAP_SPAWN_POINT:MAP_SPAWN_POINT_53；MAP_SPAWN_POINT:MAP_SPAWN_POINT_54
MAP_SPAWN_MACRO_28	R28	MAP_SPAWN_POINT:MAP_SPAWN_POINT_55；MAP_SPAWN_POINT:MAP_SPAWN_POINT_56
MAP_SPAWN_MACRO_29	R29	MAP_SPAWN_POINT:MAP_SPAWN_POINT_57；MAP_SPAWN_POINT:MAP_SPAWN_POINT_58
MAP_SPAWN_MACRO_30	R30	MAP_SPAWN_POINT:MAP_SPAWN_POINT_59；MAP_SPAWN_POINT:MAP_SPAWN_POINT_60
MAP_SPAWN_MACRO_31	R31	MAP_SPAWN_POINT:MAP_SPAWN_POINT_61；MAP_SPAWN_POINT:MAP_SPAWN_POINT_62
MAP_SPAWN_MACRO_32	R32	MAP_SPAWN_POINT:MAP_SPAWN_POINT_63；MAP_SPAWN_POINT:MAP_SPAWN_POINT_64
MAP_SPAWN_MACRO_33	R33	MAP_SPAWN_POINT:MAP_SPAWN_POINT_65；MAP_SPAWN_POINT:MAP_SPAWN_POINT_66
MAP_SPAWN_MACRO_34	R34	MAP_SPAWN_POINT:MAP_SPAWN_POINT_67；MAP_SPAWN_POINT:MAP_SPAWN_POINT_68
MAP_SPAWN_MACRO_35	R35	MAP_SPAWN_POINT:MAP_SPAWN_POINT_69；MAP_SPAWN_POINT:MAP_SPAWN_POINT_70
MAP_SPAWN_MACRO_36	R36	MAP_SPAWN_POINT:MAP_SPAWN_POINT_71；MAP_SPAWN_POINT:MAP_SPAWN_POINT_72
MAP_SPAWN_MACRO_37	R37	MAP_SPAWN_POINT:MAP_SPAWN_POINT_73；MAP_SPAWN_POINT:MAP_SPAWN_POINT_74
MAP_SPAWN_MACRO_38	R38	MAP_SPAWN_POINT:MAP_SPAWN_POINT_75；MAP_SPAWN_POINT:MAP_SPAWN_POINT_76
MAP_SPAWN_MACRO_39	R39	MAP_SPAWN_POINT:MAP_SPAWN_POINT_77；MAP_SPAWN_POINT:MAP_SPAWN_POINT_78
MAP_SPAWN_MACRO_40	R40	MAP_SPAWN_POINT:MAP_SPAWN_POINT_79；MAP_SPAWN_POINT:MAP_SPAWN_POINT_80
