工程字段	唯一值 / 执行语义
MapEdgeClass	ARENA / BREACH / COURT / DEN / MAIN / POCKET / RAMP / RISK / SHOP / SIDE / SIDEDOOR / SPAWN_LINK
MapWallClass	BOUND / VAULT
MapStormPhaseKind	HOLD / SHRINK / STORM
ControlType	SLOW / ROOT / SILENCE / BLIND / KNOCKBACK / PULL / STUN / PETRIFY / POLYMORPH / KNOCKUP
ForcedMovementType	KNOCKBACK / KNOCKUP / PULL / THROW
StealthSourceKind	ACTIVE_STEALTH / EQUIPMENT_STEALTH / FOG_OF_WAR_ONLY / FUSHI_HIDDEN / SMOKE_OCCLUSION_ONLY
StealthBreakCause	ACTUAL_DAMAGE_TAKEN / OWNER_BASIC_RELEASE_AGAINST_HOSTILE / OWNER_HOSTILE_ACTIVE_CAST_COMMIT / REVEALED_BY_ENEMY / STEALTH_TIMEOUT / VOLUNTARY_CANCEL
ActiveGenericID	D1 / D3 / D4 / D6 / D7 / D9 / D10 / D11 / D12 / D13 / D14 / D15 / D16 / D17 / D18 / D19 / D20 / D21 / D22
ActiveGenericReservedID	D2 / D5 / D8
ActiveEffectType	AERIAL_DELAYED_AREA_DAMAGE / ANY_HERO_HEAL_ZONE / ARM_NEXT_BASIC / ATOMIC_SWAP_TWO_VISIBLE_UNITS / BASIC_LIFESTEAL_AND_DAMAGE_AURA / BLINK_LEAVE_DELAYED_DECOY / CAPSULE_SWEEP_BLINK / CHAIN_DAMAGE / CHARGED_RADIAL_PULL / CONDITIONAL_POISON_DETONATE / CONE_DAMAGE_SLOW / CONTAGIOUS_DAMAGE_ZONE / CREATE_GOLD / DAMAGE_SLOW_ANTIMOBILITY_ZONE / DAMAGE_SLOW_ZONE / DASH_STOP_FIRST / DELAYED_AREA_DAMAGE / DELAYED_AREA_DAMAGE_SLOW / DELAYED_SILENCE_ZONE / DESTRUCTIBLE_ICE_WALL / DUAL_PETRIFY / FIRE_WALL / GLOBAL_LINE_PROJECTILE / LOCKED_DAMAGE_STUN / MOBILE_CHANNEL_AOE / MOBILE_INVULNERABILITY / MONSTER_EXECUTE_OR_PLAYER_GOLD_STEAL / PAGODA_RING_SOLID / PETRIFY_TARGET / PIERCING_DASH / PROJECTILE_POLYMORPH / PROJECTILE_PULL / PROJECTILE_ROOT / RADIAL_DAMAGE_KNOCK_TO_EDGE / SCAN_OLD_EQUIPMENT / SELF_COMBAT_BUFF / SELF_LOCK_INVULNERABILITY / SELF_REDUCTION_SPEED_BUFF / SELF_REWIND / SELF_SHIELD / SELF_STEALTH_SPEED / SMOKE_VISION_ZONE / SPAWN_DECOYS / SPAWN_SUMMON / SPEND_GOLD_TRUE_DAMAGE / TARGET_BEHIND_BLINK_AND_ARM_CRIT / TARGET_DAMAGE_AMP_MARK / TARGET_DAMAGE_HARD_CONTROL / TARGET_DOT_REVEAL / TARGET_REVEAL_BOUNTY_MARK / TOGGLE_PLAYER_BOUNTY / UNIFORM_RANDOM_DAMAGE / VISIBLE_ANY_HERO_HEAL / VISIBLE_TRAP_OR_REMOTE_DETONATE / WIND_WALL
ActiveEffectSchema.family_authority	E.30逐类型字段矩阵与BASE/DAMAGE/HEAL/SUMMON族声明为唯一schema权威；common_required已废止
ActiveEffectSchema.damage_events_required	含伤害载荷必须使用damage_events[]；每个子事件独立声明damage_form / hit_kind / element_rule / source_faction / owner_credit / trigger
ActiveEffectSchema.omitted_damage_fields	USE_EXPLICIT_ACTIVE_DEFAULTS_ONLY; NEVER_INFER_FROM_EFFECT_TYPE_NAME
ActiveEffectDefaults.player_normal_damage	DamageForm=SKILL; SourceFaction=PLAYER_OWNED; ElementRule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT; HitKind=ABILITY; OwnerCredit=CASTER
MapPhysicalObjectClass	STATIC_BOUND / STATIC_VAULT / H031_PAGODA / H036_FROZEN_RIVER / FUSHI_STONE / SMOKE_ZONE / RAMP_WALKABLE
MobilityTag	BLINK / DASH / CHARGE / FORCED_SELF_MOVEMENT / FLIGHT_ASCEND / FLIGHT_DESCEND
MonsterSkillShape	CIRCLE / CONE / LINE / LINE_CAPSULE / THREE_PARALLEL_LINES / THREE_RADIAL_LANES_WITH_ONE_GAP / SINGLE_TARGET_CHAIN / NONE
CollisionQuery	3D_CAPSULE_SWEEP
MobilityTagAuthority	MobilityTag_CLOSED_ENUM_AND_ACTIVE_REGISTRY
BlockerClass	STATIC_SOLID / WIND_WALL / FROZEN_RIVER
H009ExcludedFieldClass	PROC_CHANCE / DURATION / COOLDOWN / COUNT / ECONOMY / PERMANENT_GROWTH / LETHAL_PROTECTION / STORM_PROBABILITY
DamageEventId	MAIN / CROSS / BURN / STACK_DOT / DETONATION / SPLASH / POISON_DOT / CONTACT / CONTACT_BURN / ARROW / BREAK_AOE / REFLECT / COUNTER / CONVERT_REFLECT / AFTERIMAGE_EXPLOSION / EXTRA_BASIC_BONUS / RESONANCE_AOE / STATUE_DESTROY_AOE / LIGHTNING
SummonArchetype	STONE_ARHAT / BEAN_SOLDIER / SIX_EAR_DECOY / WOLF_SPIRIT / FIRE_SPIRIT / STONE_STATUE / CORE_MIRROR
ValueContainerType	INT64 / Q4 / BOOL / ENUM / SET / ARRAY / FORMULA / HASH / REF
EquipmentQuality	WHITE / BLUE / PURPLE / GOLD
StatKind	ATTACK_FLAT / MAX_HP_FLAT / MOVE_SPEED_FLAT / ATTACK_SPEED_PERCENT
