effect_type	闭合字段集（除schema_version/payload_sha256外）
DAMAGE_SLOW_ANTIMOBILITY_ZONE	attack_coef / blocks_mobility_cast_start / cast_type / damage / damage_form / does_not_cancel_committed_mobility / duration_s / effect_type / element_rule / hit_kind / mobility_tag_authority / owner_credit / radius_m / range_m / shape / slow_percent / source_faction / targeting / tick_s / width_m / zone_checks
DAMAGE_SLOW_ZONE	attack_coef / cast_type / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / shape / slow_percent / source_faction / targeting / tick_s / width_m
DASH_STOP_FIRST	attack_coef / cast_type / damage / damage_form / distance_m / duration_s / effect_type / element_rule / hit_kind / interruptible_by_hard_control / owner_credit / radius_m / range_m / shape / source_faction / stun_s / targeting / width_m
DELAYED_AREA_DAMAGE	attack_coef / cast_type / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / shape / source_faction / targeting / telegraph_s / width_m
DELAYED_AREA_DAMAGE_SLOW	attack_coef / cast_type / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / shape / slow_percent / slow_s / source_faction / targeting / telegraph_s / width_m
DELAYED_SILENCE_ZONE	cast_type / duration_s / effect_type / radius_m / range_m / shape / silence_s / targeting / telegraph_s / width_m
DESTRUCTIBLE_ICE_WALL	cast_type / duration_s / effect_type / height_m / hp / instance_limit / length_m / new_replaces_old / radius_m / range_m / shape / targeting / thickness_m / width_m
DUAL_PETRIFY	cast_type / cooldowns_and_buffs_continue / dot_ticks_attempt_and_resolve_zero_due_to_invulnerability / duration_s / effect_type / enemy_cannot_act / enemy_invulnerable / radius_m / range_m / self_cannot_act / self_invulnerable / shape / targeting / timers_do_not_pause / width_m
FIRE_WALL	cast_type / damage_events / duration_s / effect_type / element_rule / length_m / owner_credit / radius_m / range_m / shape / source_faction / targeting / thickness_m / width_m
GLOBAL_LINE_PROJECTILE	attack_coef / blocked_by / cast_type / damage / damage_form / distance_bonus_cap_percent / distance_bonus_measure / distance_bonus_origin / distance_bonus_percent_per_10m / duration_s / effect_type / element_rule / hit_kind / max_lifetime_s / owner_credit / projectile_speed_mps / radius_m / range_m / shape / source_faction / targeting / width_m
LOCKED_DAMAGE_STUN	after_lock_revalidation / attack_coef / cast_type / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / impact_delay_s / miss / owner_credit / radius_m / range_los_not_rechecked / range_m / shape / source_faction / stun_s / targeting / width_m
MOBILE_CHANNEL_AOE	attack_coef / cast_type / damage_form / damage_per_tick / duration_s / effect_type / element_rule / hard_control_interrupts / hit_kind / owner_credit / radius_m / range_m / self_move_multiplier / shape / source_faction / targeting / tick_s / width_m
MOBILE_INVULNERABILITY	can_basic / can_cast / can_move / cast_type / combat_actions_remain_as_DECLARED / duration_s / effect_type / radius_m / range_m / shape / targeting / width_m / world_interactions_during_invulnerability
MONSTER_EXECUTE_OR_PLAYER_GOLD_STEAL	cast_type / does_not_trigger_basic_hit_chain / duration_s / effect_type / execute_base_gold_multiplier / execute_types / gold_multiplier_scope / immune_types / insufficient / kill_credit / never_creates_gold_on_player / on_kill_triggers_once / pig_execute_current_hp_lte_percent / player_transfer_gold / radius_m / range_m / shape / targeting / width_m / xp_and_drop_multiplier / xp_and_drops
PAGODA_RING_SOLID	cast_type / destructible / duration_s / effect_type / height_m / instance_limit / radius_m / range_m / segments / shape / targeting / telegraph_s / wall_thickness_m / width_m
PETRIFY_TARGET	cast_type / duration_s / effect_type / radius_m / range_m / shape / target_cannot_act / target_invulnerable / targeting / width_m
PIERCING_DASH	attack_coef / cast_type / damage / damage_form / distance_m / duration_s / effect_type / element_rule / hit_each_target_once / hit_kind / knockback_m / owner_credit / radius_m / range_m / shape / source_faction / targeting / width_m
PROJECTILE_POLYMORPH	cast_type / disable_active / disable_basic / duration_s / effect_type / existing_owned_entities / move_speed_multiplier / on_polymorph / preserve_movement_class / projectile_speed_mps / radius_m / range_m / shape / targeting / width_m
PROJECTILE_PULL	attack_coef / blocked_by / cast_type / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / immune_tiers / no_legal_pull_point / owner_credit / projectile_speed_mps / pull_destination / pull_to_caster_front_m / radius_m / range_m / shape / source_faction / targeting / width_m
PROJECTILE_ROOT	blocked_by / cast_type / collision_query / duration_s / effect_type / homing / projectile_radius_m / projectile_speed_mps / radius_m / range_m / root_allows_basic_and_active / root_s / shape / targeting / width_m
RADIAL_DAMAGE_KNOCK_TO_EDGE	actor_collision / attack_coef / blocked_knock_still_stuns / cast_type / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / knock_destination / knock_direction / owner_credit / radius_m / range_m / shape / source_faction / stun_s / targeting / width_m
SCAN_OLD_EQUIPMENT	cast_type / duration_s / effect_type / mark_duration_s / marker_reveals_owner_or_source / minimum_ground_age_s / newly_aging_items_not_added / radius_m / range_m / recipient / scan_ignores_fog_and_walls / shape / snapshot_at_cast / targeting / width_m
SELF_COMBAT_BUFF	attack_speed_add_percent / cast_type / duration_s / effect_type / excluded_field_classes / incoming_damage_multiplier / passive_effect_magnitude_multiplier / passive_magnitude_authority / passive_proc_probability_multiplier / radius_m / range_m / shape / targeting / transform_additive / transform_delta_from_one / transform_remaining_from_one / width_m
SELF_LOCK_INVULNERABILITY	can_basic / can_cast / can_move / cast_type / duration_s / effect_type / radius_m / range_m / shape / targeting / width_m
SELF_REDUCTION_SPEED_BUFF	cast_type / duration_s / effect_type / incoming_non_true_remaining_multiplier / move_speed_add_percent / radius_m / range_m / shape / targeting / width_m
SELF_REWIND	cast_type / cooldowns_rewind / duration_s / effect_type / gold_inventory_status_rewind / history_buffer_s / history_sample_hz / hp_result / lookback_s / position_illegal_does_not_cancel_hp_restore / position_result / radius_m / range_m / sample_choice / shape / targeting / width_m
SELF_SHIELD	absorbs / amount / cast_type / duration_s / effect_type / radius_m / range_m / same_source_new_cast / shape / shield_absorption_order / targeting / width_m
SELF_STEALTH_SPEED	break_attack_bonus / break_on / cast_type / duration_s / effect_type / move_speed_multiplier / pickup_does_not_break / radius_m / range_m / shape / targeting / width_m
SMOKE_VISION_ZONE	area_skills_can_blind_cast / blocks_vision_across_boundary / cast_type / caster_vision_unchanged / duration_s / effect_type / enemy_inside_direct_vision_cap_m / radius_m / range_m / shape / targeting / true_sight_overrides / width_m
SPAWN_DECOYS	attack / cast_type / copy_owner_visual_and_hp_percent / count / decoy_current_hp / decoy_death_credit / decoy_gold_xp_drop / decoy_max_hp / duration_s / effect_type / hp_inherit_percent / move_speed_inherit_percent / radius_m / range_m / shape / targeting / unit_collision / width_m
SPAWN_SUMMON	archetype / attack / cast_type / count / duration_s / effect_type / hp / radius_m / range_m / shape / targeting / width_m　允许缺省：attack_attribute_inherit / triggers_owner_passives
SPEND_GOLD_TRUE_DAMAGE	atomic_deduct_and_cast / cast_type / cost / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / minimum_balance_to_cast / owner_credit / radius_m / range_m / shape / shieldable / source_faction / targeting / width_m
TARGET_BEHIND_BLINK_AND_ARM_CRIT	arm_next_basic_crit / behind_offset_m / candidate_directions / candidate_query / candidate_radius_m / cast_type / duration_s / effect_type / no_candidate / radius_m / range_m / shape / targeting / width_m
TARGET_DAMAGE_AMP_MARK	cast_type / caster_damage_multiplier / caster_true_death / duration_s / effect_type / equal_distance_tie_break / no_legal_transfer / on_credited_true_death_transfer / radius_m / range_m / shape / targeting / transfer_distance_metric / transfer_refresh_s / width_m
TARGET_DAMAGE_HARD_CONTROL	attack_coef / cast_type / control_duration_s / control_type / control_uses_normal_tenacity / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / shape / source_faction / targeting / width_m
TARGET_DOT_REVEAL	cast_type / clear_on_caster_true_death / damage_form / damage_per_tick / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / reveal / shape / source_faction / targeting / tick_s / width_m
TARGET_REVEAL_BOUNTY_MARK	B41_independent / cast_type / caster_kill_bonus_created_gold / clear_on / duration_s / effect_type / exact_reveal_recipient / other_players_receive_no_information / radius_m / range_m / reveal_does_not_grant_through_wall_lock / shape / targeting / wall_blocked_target / width_m
TOGGLE_PLAYER_BOUNTY	base_bounty / cap / cast_type / duration_s / effect_type / head_marker_shows_capped_value / manual_off / monster_final_blow / numeric_storage / on_each_credited_player_true_death / player_killer_gets_created_gold_percent / radius_m / range_m / shape / targeting / toggle_cd_s / true_death / width_m
UNIFORM_RANDOM_DAMAGE	can_crit / cast_type / crit / damage_form / duration_s / effect_type / element_rule / hit_kind / integer_inclusive / owner_credit / radius_m / range_m / rejected_cast_consumes_rng / rng_stream / shape / shieldable / source_faction / targeting / width_m
VISIBLE_ANY_HERO_HEAL	cast_type / duration_s / effect_type / faction_filter / heal / quick_cast_no_target / radius_m / range_m / shape / targeting / width_m
VISIBLE_TRAP_OR_REMOTE_DETONATE	all_capsule_trajectory_cross_triggers / arming_s / blocks_movement / body_blocks / cast_type / damage_form / destroy_explosion / destroy_reward / destructible_by_enemy / duration_s / effect_type / element_rule / exceptions / fourth_removes_oldest / hit_kind / instance_limit / no_own_trap_press / owner_credit / placement_range_m / radius_m / range_m / remote_attack_coef / remote_damage / remote_radius_m / remote_range / remote_selection_hold / remote_selection_tap / remote_selection_tie / reveal_s / root_s / shape / source_faction / targeting / trap_hp / trigger_attack_coef / trigger_damage / trigger_radius_m / width_m
WIND_WALL	blocks_projectile_tag / cast_type / duration_s / effect_type / knockback_m / length_m / radius_m / range_m / shape / solid / targeting / width_m
