宝箱点ID	坐标	region_id
MAP_CHEST_POINT_056	-150 / -151.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_057	-150 / -196.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_058	-150 / -241.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_059	-150 / -286.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_060	-105 / 298.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_061	-105 / 253.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_062	-105 / 208.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_063	-105 / 118.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_064	-105 / 73.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_065	-105 / 28.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_066	-105 / -16.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_067	-105 / -106.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_068	-105 / -151.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_069	-105 / -196.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_070	-105 / -241.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_071	-105 / -286.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_072	-60 / 163.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_073	-60 / 118.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_074	-60 / 73.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_075	-60 / -16.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_076	-60 / -151.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_077	-60 / -196.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_078	-60 / -286.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_079	-15 / 298.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_080	-15 / 253.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_081	-15 / 208.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_082	-15 / 163.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_083	-15 / -196.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_084	-15 / -286.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_085	-15 / -331.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_086	30 / 298.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_087	30 / 253.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_088	30 / 208.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_089	30 / 28.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_090	30 / -16.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_091	30 / -106.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_092	30 / -151.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_093	30 / -196.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_094	30 / -241.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_095	30 / -286.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_096	30 / -331.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_097	75 / 163.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_098	75 / 73.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_099	75 / -16.2	REGION_BURNING_WATER
MAP_CHEST_POINT_100	75 / -61.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_101	75 / -106.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_102	75 / -196.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_103	75 / -286.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_104	120 / 298.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_105	120 / 253.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_106	120 / 163.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_107	120 / 118.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_108	120 / 73.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_109	120 / 28.8	REGION_BURNING_WATER
MAP_CHEST_POINT_110	120 / -106.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_111	120 / -151.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_112	120 / -196.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_113	120 / -286.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_114	165 / 298.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_115	165 / 208.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_116	165 / 163.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_117	165 / 118.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_118	165 / 73.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_119	165 / 28.8	REGION_BURNING_WATER
MAP_CHEST_POINT_120	165 / -151.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_121	165 / -196.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_122	165 / -241.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_123	165 / -286.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_124	210 / 298.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_125	210 / 208.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_126	210 / 163.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_127	210 / 118.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_128	210 / 73.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_129	210 / -16.2	REGION_BURNING_WATER
MAP_CHEST_POINT_130	210 / -106.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_131	210 / -151.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_132	210 / -196.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_133	210 / -286.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_134	255 / 298.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_135	255 / 253.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_136	255 / 208.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_137	255 / 163.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_138	255 / 118.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_139	255 / 73.8	REGION_BURNING_WATER
MAP_CHEST_POINT_140	255 / 28.8	REGION_BURNING_WATER
MAP_CHEST_POINT_141	255 / -16.2	REGION_BURNING_WATER
MAP_CHEST_POINT_142	255 / -106.2	REGION_BURNING_WATER
MAP_CHEST_POINT_143	255 / -151.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_144	255 / -286.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_145	300 / 298.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_146	300 / 253.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_147	300 / 208.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_148	300 / 163.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_149	300 / 118.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_150	300 / 73.8	REGION_BURNING_WATER
MAP_CHEST_POINT_151	300 / 28.8	REGION_BURNING_WATER
MAP_CHEST_POINT_152	300 / -16.2	REGION_BURNING_WATER
MAP_CHEST_POINT_153	300 / -61.2	REGION_BURNING_WATER
MAP_CHEST_POINT_154	300 / -286.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_155	345 / 253.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_156	345 / -16.2	REGION_BURNING_WATER
MAP_CHEST_POINT_157	345 / -61.2	REGION_BURNING_WATER
MAP_CHEST_POINT_158	345 / -196.2	REGION_BURNING_WATER
MAP_CHEST_POINT_159	345 / -241.2	REGION_CENTIPEDE_CITY
MAP_CHEST_POINT_160	390 / 208.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_161	390 / 163.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_162	390 / 118.8	REGION_DRAGON_RIDGE
MAP_CHEST_POINT_163	390 / 73.8	REGION_BURNING_WATER
MAP_CHEST_POINT_164	390 / -16.2	REGION_BURNING_WATER
MAP_CHEST_POINT_165	390 / -61.2	REGION_BURNING_WATER
MAP_CHEST_POINT_166	390 / -106.2	REGION_BURNING_WATER
MAP_CHEST_POINT_167	390 / -151.2	REGION_BURNING_WATER
