工程字段	唯一值 / 执行语义
machine_authorities.rng	§15工程运行规则
machine_authorities.determinism	§15工程运行规则
machine_authorities.network	§15工程运行规则
machine_authorities.connection	附录E工程契约
machine_authorities.backend	§15工程运行规则
machine_authorities.bots	RULE-MATCH-001
machine_authorities.matchmaking	RULE-MATCH-001
machine_authorities.release_gates	§16至§17资产与发布规则
machine_authorities.units_ids	RULE-CORE-001
machine_authorities.authority_schema	RULE-CORE-001
machine_authorities.player_combat	§5战斗规则
machine_authorities.life_progression	§2及附录A英雄成长规则
machine_authorities.vision_information	RULE-COMBAT-001
machine_authorities.economy_drops	§12及附录C经济掉落规则
machine_authorities.monster_combat	§5战斗规则
machine_authorities.airdrop	§12及附录C经济掉落规则
machine_authorities.state_machines	附录E工程契约
machine_authorities.event_order	附录E工程契约
machine_authorities.closed_enums	附录E工程契约
machine_authorities.analytics	附录E工程契约
machine_authorities.security_replay	§15工程运行规则
machine_authorities.settings	附录E工程契约
machine_authorities.metagame	§14局外规则
machine_authorities.collections	§14局外规则
machine_authorities.ui_layout	§3输入与界面规则
machine_authorities.monetization	§14局外规则
machine_authorities.completion_matrix	RULE-RELEASE-001
machine_authorities.codegen	RULE-CORE-001
machine_authorities.audio_slots	§16至§17资产与发布规则
machine_authorities.content_acceptance_vectors	RULE-RELEASE-001
machine_authorities.requirements_traceability	RULE-RELEASE-001
machine_authorities.equipment_catalog	§8装备规则
natural_language_is_non_authoritative	是
authority_loading.order	VERIFY_MANIFEST_DELIVERY_HASH / VERIFY_RUNTIME_RULESET_HASH / LOAD_CLOSED_ENUMS_AND_SCHEMA / LOAD_MACHINE_AUTHORITIES / RESOLVE_TYPED_CONTENT_REFS / RUN_CROSS_FILE_ASSERTIONS
authority_loading.any_failure	REFUSE_SERVER_START_OR_CLIENT_JOIN
authority_loading.hot_swap_during_match	否
authority_classes.MATCH_RULESET	units_ids / authority_schema / heroes / active_skills / passives / equipment / player_combat / combat / elements / storm / map / monsters / monster_ai / monster_combat / directed_books / directed_equipment / shops / shop_bags / black_mountain / economy / economy_drops / transactions / ground_loot / movement / dynamic_solids / summons / input / ui_flow / rng / determinism / bots / matchmaking / life_progression / vision_information / airdrop / state_machines / event_order / closed_enums
authority_classes.SERVICE_CONTRACT	network / connection / backend / analytics / security_replay / settings / metagame / collections / ui_layout / monetization
authority_classes.DEVELOPMENT_ONLY	monster_visuals / release_gates / completion_matrix / codegen / audio_slots / content_acceptance_vectors / requirements_traceability / equipment_catalog
authority_classes.rule	MATCH_RULESET_HASH_ONLY_USES_MATCH_RULESET; SERVICE_HASH_USES_SERVICE_CONTRACT; DELIVERY_HASH_USES_ALL_DELIVERED_FILES
content_counts.heroes	38
content_counts.active	57
content_counts.passive	44
content_counts.equipment	48
content_counts.monster_archetypes	22
round22_clean_rebuild_and_3d_closure_integrated	是
release_pipeline_must_be_single_writer_and_rebuild_artifacts	是
ruleset_semver	3.0.0
service_contract_version	3.0.0
ruleset_hash_algorithm	SHA256_UTF8_CANONICAL_RULE_EXPORT_EXCLUDING_RULESET_HASH_FIELD
compatibility_policy	MATCH_BINDS_EXACT_RULESET_HASH; NO_HOT_SWAP; REPLAY_REQUIRES_EXACT_HASH
replay.genesis_prev_hash_32	771807ee94b4c493fb7cfb4eec41e8e3a87847542140eec4e9cbda5b7ceff7d3
replay.genesis_domain	SANMING_WUCHANG|REPLAY|GENESIS|3.0.0
rule_projection.authority	APPENDIX_E_FULLY_NAMESPACED_ENGINEERING_KEYS
rule_projection.body_and_player_text	GENERATED_READ_ONLY_PROJECTION; NEVER_RUNTIME_INPUT
empty_field_policy	FORBID_BLANK; USE_NONE_OR_EMPTY_ARRAY_OR_NOT_APPLICABLE_OR_INHERIT_DEFAULT
aborted_match.client_result_code	VOID_MATCH_SERVER_INTEGRITY_OR_30M_TIMEOUT
aborted_match.player_message_key	settlement_void_match_retry
aborted_match.requeue_action	ONE_TAP_AVAILABLE_AFTER_RESULT_ACK
aborted_match.settlement_idempotent	是
map.wall_polygon_simplification_tolerance_m	0.05
map.wall_polygon_orientation	CLOCKWISE
map.wall_polygon_explicit_closing_vertex	否
map.wall_polygon_geometry_sha256	73cb6bbe7de36c9b371924bdaff6d5a518295448c707b4dd50defab159e04573
ruleset_hash	97e97296640c35d9c9e2ed0962d30246fa66dd3b1a41b86201562022873c49cb
map.region_polygon_sha256	11918269d7f585be1b829e38100d194028e80e9692e9868814996690a7339d8d
active.runtime_authority	E.26_STRONG_TYPED_PAYLOAD_TABLE
active.natural_language_runtime_parse	FORBIDDEN
H009.runtime_authority	E.27_EXACT_FIELD_WHITELIST
passive.runtime_authority	E.31_STRONG_TYPED_PAYLOAD_TABLE
equipment.effect_runtime_authority	E.32_STRONG_TYPED_PAYLOAD_TABLE
monster_skill.runtime_authority	E.33_STRONG_TYPED_PAYLOAD_TABLE
summon.runtime_authority	E.34_STRONG_TYPED_PAYLOAD_TABLE
