微位ID	标签	坐标m	朝向°	宏区	出口节点	region_id
MAP_SPAWN_POINT_27	R14_1	234.5 / 88.3	25.4	MAP_SPAWN_MACRO_14	N042	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_28	R14_2	185.9 / 60.4	-146.8	MAP_SPAWN_MACRO_14	N017	REGION_BURNING_WATER
MAP_SPAWN_POINT_29	R15_1	-194.1 / 138.3	-62.1	MAP_SPAWN_MACRO_15	N039	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_30	R15_2	-228.5 / 182.8	136.4	MAP_SPAWN_MACRO_15	N001	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_31	R16_1	83.8 / -165.6	38.1	MAP_SPAWN_MACRO_16	N027	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_32	R16_2	62 / -214.6	-87.1	MAP_SPAWN_MACRO_16	N046	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_33	R17_1	4.8 / 110.6	-4.4	MAP_SPAWN_MACRO_17	N052	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_34	R17_2	-42.1 / 106.2	-166.6	MAP_SPAWN_MACRO_17	N004	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_35	R18_1	-121.6 / -104.8	114.2	MAP_SPAWN_MACRO_18	N051	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_36	R18_2	-88.4 / -150.2	-43.1	MAP_SPAWN_MACRO_18	N025	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_37	R19_1	-271.9 / -49	115.8	MAP_SPAWN_MACRO_19	N011	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_38	R19_2	-235.7 / -90	-38.5	MAP_SPAWN_MACRO_19	N023	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_39	R20_1	328.6 / -112.3	-82.2	MAP_SPAWN_MACRO_20	N030	REGION_BURNING_WATER
MAP_SPAWN_POINT_40	R20_2	309.3 / -59.6	124	MAP_SPAWN_MACRO_20	N019	REGION_BURNING_WATER
MAP_SPAWN_POINT_41	R21_1	-303.3 / 83.7	52.2	MAP_SPAWN_MACRO_21	N031	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_42	R21_2	-308.6 / 31.5	-65.9	MAP_SPAWN_MACRO_21	N011	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_43	R22_1	193.1 / -164.7	-119.1	MAP_SPAWN_MACRO_22	N047	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_44	R22_2	218.8 / -114.9	67.4	MAP_SPAWN_MACRO_22	N050	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_45	R23_1	26.5 / 54	90	MAP_SPAWN_MACRO_23	N055	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_46	R23_2	12.2 / 7.7	-126.9	MAP_SPAWN_MACRO_23	N015	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_47	R24_1	274.1 / 203.7	-1.1	MAP_SPAWN_MACRO_24	N009	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_48	R24_2	222.3 / 185.1	-138.6	MAP_SPAWN_MACRO_24	N007	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_49	R25_1	-215.8 / -192.8	-32.7	MAP_SPAWN_MACRO_25	N044	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_50	R25_2	-269.4 / -178.2	-177.3	MAP_SPAWN_MACRO_25	N021	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_51	R26_1	-126.1 / -290.8	113.8	MAP_SPAWN_MACRO_26	N044	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_52	R26_2	-120.7 / -288.1	119.4	MAP_SPAWN_MACRO_26	N044	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_53	R27_1	157 / 43.4	27.6	MAP_SPAWN_MACRO_27	N037	REGION_BURNING_WATER
MAP_SPAWN_POINT_54	R27_2	153.1 / 5.7	-38.1	MAP_SPAWN_MACRO_27	N018	REGION_BURNING_WATER
MAP_SPAWN_POINT_55	R28_1	-90.8 / 140.1	-54.3	MAP_SPAWN_MACRO_28	N004	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_56	R28_2	-124.8 / 184.4	128.9	MAP_SPAWN_MACRO_28	N032	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_57	R29_1	-221.7 / 46.8	-111.8	MAP_SPAWN_MACRO_29	N012	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_58	R29_2	-195.5 / 92.3	51.9	MAP_SPAWN_MACRO_29	N039	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_59	R30_1	-71.1 / -168.4	130.4	MAP_SPAWN_MACRO_30	N024	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_60	R30_2	-66.7 / -164.2	136.9	MAP_SPAWN_MACRO_30	N024	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_61	R31_1	-211.2 / -111.7	135.8	MAP_SPAWN_MACRO_31	N040	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_62	R31_2	-210.1 / -145.6	-131.4	MAP_SPAWN_MACRO_31	N022	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_63	R32_1	159.6 / 151.6	177.3	MAP_SPAWN_MACRO_32	N006	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_64	R32_2	211.6 / 169.3	41.4	MAP_SPAWN_MACRO_32	N008	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_65	R33_1	302.9 / -0.8	36.8	MAP_SPAWN_MACRO_33	N020	REGION_BURNING_WATER
MAP_SPAWN_POINT_66	R33_2	295.1 / -47	-56	MAP_SPAWN_MACRO_33	N043	REGION_BURNING_WATER
MAP_SPAWN_POINT_67	R34_1	-69.4 / 82.6	70.6	MAP_SPAWN_MACRO_34	N004	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_68	R34_2	-83.3 / 33.4	-107.1	MAP_SPAWN_MACRO_34	N014	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_69	R35_1	295.6 / -188.9	-3.9	MAP_SPAWN_MACRO_35	N030	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_70	R35_2	295.6 / -194.9	3.9	MAP_SPAWN_MACRO_35	N030	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_71	R36_1	99.5 / -159.5	-141.9	MAP_SPAWN_MACRO_36	N026	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_72	R36_2	131.3 / -114.2	75.8	MAP_SPAWN_MACRO_36	N063	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_73	R37_1	225.7 / -101	-120.5	MAP_SPAWN_MACRO_37	N028	REGION_BURNING_WATER
MAP_SPAWN_POINT_74	R37_2	256.5 / -55.8	51.9	MAP_SPAWN_MACRO_37	N019	REGION_BURNING_WATER
MAP_SPAWN_POINT_75	R38_1	293.1 / 87	-52.5	MAP_SPAWN_MACRO_38	N020	REGION_BURNING_WATER
MAP_SPAWN_POINT_76	R38_2	247 / 95.4	-146.5	MAP_SPAWN_MACRO_38	N037	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_77	R39_1	-123.5 / -5.5	135.5	MAP_SPAWN_MACRO_39	N013	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_78	R39_2	-87.7 / 3.9	72.9	MAP_SPAWN_MACRO_39	N035	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_79	R40_1	-72.3 / 234.4	164.4	MAP_SPAWN_MACRO_40	N041	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_80	R40_2	-71.1 / 240.3	173	MAP_SPAWN_MACRO_40	N041	REGION_BROKEN_GOLD
