ID	名称	类型	归属	CD(s)	瞄准与几何	完整机制
H037	羊灵之光	专属	H037	35	target=VISIBLE_ENEMY_OR_SELF；cast=INSTANT；range=20m；shape=NONE；radius=0m；width=0m；duration=1.5s	type=DUAL_PETRIFY；range_m=20；duration_s=1.5；enemy_invulnerable=是；enemy_cannot_act=是；self_invulnerable=是；self_cannot_act=是；cooldowns_and_buffs_continue=是；dot_ticks_attempt_and_resolve_zero_due_to_invulnerability=是；timers_do_not_pause=是
H038	迷烟	专属	H038	28	target=GROUND_POINT；cast=INSTANT；range=30m；shape=CIRCLE；radius=8m；width=0m；duration=4s	type=SMOKE_VISION_ZONE；range_m=30；radius_m=8；duration_s=4；enemy_inside_direct_vision_cap_m=2；blocks_vision_across_boundary=是；caster_vision_unchanged=是；true_sight_overrides=是；area_skills_can_blind_cast=是
D1	钩锁	通用	地图通用	28	target=DIRECTION；cast=INSTANT；range=80m；shape=PROJECTILE；radius=0m；width=1m；duration=0s	type=PROJECTILE_PULL；range_m=80；projectile_speed_mps=60；damage=fixed=80；attack_coef=0.4；pull_to_caster_front_m=1.5；blocked_by=STATIC_SOLID / WIND_WALL / FROZEN_RIVER；immune_tiers=DRAGON / CORE_BOSS；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER；pull_destination=NEAREST_LEGAL_POINT_IN_FRONT_OF_CASTER；no_legal_pull_point=DAMAGE_COMMITS_PULL_FAILS
D3	雷击	通用	地图通用	24	target=VISIBLE_ENEMY；cast=INSTANT；range=70m；shape=NONE；radius=0m；width=0m；duration=0s	type=LOCKED_DAMAGE_STUN；range_m=70；damage=fixed=140；attack_coef=0.8；stun_s=1；miss=ONLY_IF_TARGET_INVULNERABLE_AT_IMPACT；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER；impact_delay_s=0.2；after_lock_revalidation=INVULNERABILITY_ONLY；range_los_not_rechecked=是
D4	变羊	通用	地图通用	32	target=VISIBLE_ENEMY；cast=INSTANT；range=45m；shape=PROJECTILE；radius=0m；width=1m；duration=2s	type=PROJECTILE_POLYMORPH；range_m=45；projectile_speed_mps=30；duration_s=2；disable_basic=是；disable_active=是；move_speed_multiplier=1.3；preserve_movement_class=是；on_polymorph=INTERRUPT_ACTIVE_WINDUP_AND_CHANNEL；existing_owned_entities=PERSIST_NORMALLY
D6	闪现	通用	地图通用	15	target=DIRECTION；cast=INSTANT；range=15m；shape=POINT；radius=0m；width=0m；duration=0s	type=CAPSULE_SWEEP_BLINK；distance_m=15；max_continuous_solid_chord_m=1.5；illegal_endpoint=LAST_LEGAL_ALONG_DIRECTION；post_cast_lock_s=0
D7	潜行	通用	地图通用	32	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=5s	type=SELF_STEALTH_SPEED；duration_s=5；move_speed_multiplier=1.3；break_on=BASIC_RELEASE / ACTIVE_CAST_COMMIT；pickup_does_not_break=是；break_attack_bonus=0
D9	箭雨	通用	地图通用	24	target=GROUND_POINT；cast=INSTANT；range=35m；shape=CIRCLE；radius=8m；width=0m；duration=0s	type=AERIAL_DELAYED_AREA_DAMAGE；range_m=35；radius_m=8；telegraph_s=0.8；damage=fixed=130；attack_coef=0.6；wind_wall_blocked=否；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER
D10	电链	通用	地图通用	85	target=VISIBLE_ENEMY；cast=INSTANT；range=30m；shape=NONE；radius=0m；width=0m；duration=0s	type=CHAIN_DAMAGE；initial_range_m=30；chain_range_m=15；max_targets=6；damage=fixed=300；attack_coef=1；each_jump_multiplier=0.85；target_repeat=否；next_target=NEAREST_LEGAL_THEN_ENTITY_ID；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER
D11	轮盘	通用	地图通用	50	target=VISIBLE_ENEMY；cast=INSTANT；range=40m；shape=NONE；radius=0m；width=0m；duration=0s	type=UNIFORM_RANDOM_DAMAGE；range_m=40；integer_inclusive=1 / 999；rng_stream=ACTIVE_SKILL；crit=否；rejected_cast_consumes_rng=否；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER；can_crit=否；shieldable=是
D12	标记	通用	地图通用	70	target=VISIBLE_ENEMY；cast=INSTANT；range=60m；shape=NONE；radius=0m；width=0m；duration=90s	type=TARGET_REVEAL_BOUNTY_MARK；range_m=60；duration_s=90；caster_kill_bonus_created_gold=800；clear_on=DURATION_END / CASTER_TRUE_DEATH / TARGET_TRUE_DEATH / RECAST_REPLACE；exact_reveal_recipient=CASTER_ONLY；other_players_receive_no_information=是；B41_independent=是；reveal_does_not_grant_through_wall_lock=是；wall_blocked_target=POSITION_INTEL_ONLY
D13	换位	通用	地图通用	62	target=TWO_VISIBLE_UNITS；cast=INSTANT；range=50m；shape=NONE；radius=0m；width=0m；duration=0s	type=ATOMIC_SWAP_TWO_VISIBLE_UNITS；range_m=50；legal_types=PLAYER / ORDINARY_MONSTER / FLYING_MONSTER / PIG / DAMAGEABLE_SUMMON；immune_types=LEADER / DRAGON / CORE_BOSS；either_destination_illegal=FAIL_NO_CD；selection_state=WAIT_FIRST_TARGET / WAIT_SECOND_TARGET / COMMIT_OR_CANCEL；second_target_timeout_s=3；cancel_or_timeout=NO_COOLDOWN；second_invalid=KEEP_WAITING_UNTIL_TIMEOUT；second_target_same_as_first=INVALID_KEEP_WAITING
D14	回溯	通用	地图通用	95	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=0s	type=SELF_REWIND；lookback_s=5；hp_result=MAX(CURRENT_HP,HISTORICAL_HP_CLAMPED_TO_CURRENT_MAX_HP)；position_result=HISTORICAL_IF_LEGAL_ELSE_CURRENT；position_illegal_does_not_cancel_hp_restore=是；cooldowns_rewind=否；gold_inventory_status_rewind=否；history_sample_hz=20；history_buffer_s=6；sample_choice=LATEST_VALID_ALIVE_SAMPLE_AT_OR_BEFORE_NOW_MINUS_5S
D15	妙手空空	通用	地图通用	38	target=VISIBLE_MONSTER_OR_ENEMY；cast=INSTANT；range=30m；shape=NONE；radius=0m；width=0m；duration=0s	type=MONSTER_EXECUTE_OR_PLAYER_GOLD_STEAL；range_m=30；execute_types=ORDINARY_MONSTER / FLYING_MONSTER；xp_and_drops=NORMAL_ONCE；immune_types=LEADER / DRAGON / CORE_BOSS / PLAYER_OWNED_SUMMON；player_transfer_gold=500；insufficient=TRANSFER_ALL_REMAINING；never_creates_gold_on_player=是；pig_execute_current_hp_lte_percent=30；execute_base_gold_multiplier=3；gold_multiplier_scope=BASE_MONSTER_GOLD_ONLY；xp_and_drop_multiplier=1；kill_credit=CASTER_NORMAL_MONSTER_KILL；on_kill_triggers_once=EQUIP_B8 / B32 / B33 / B40 / G9；does_not_trigger_basic_hit_chain=是
D16	聚财	通用	地图通用	100	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=0s	type=CREATE_GOLD；amount=450；uses_per_match=UNLIMITED；ledger=GOLD_CREATE_ACTIVE_D16；true_death_ready_rule=ACTIVE_READY_BUT_MATCH_GOLD_LEDGER_REMAINS；economy_sim_source=GOLD_CREATE_ACTIVE_D16；uses_per_life_not_capped=是
D17	连赏	通用	地图通用	55	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=0s	type=TOGGLE_PLAYER_BOUNTY；toggle_cd_s=55；base_bounty=500；on_each_credited_player_true_death=BOUNTY=MIN(500*2^COUNT,32000)；cap=32000；player_killer_gets_created_gold_percent=50；monster_final_blow=DESTROY_WITHOUT_PAYOUT；manual_off=RESET_AND_OFF；true_death=PAY_IF_PLAYER_KILLER_THEN_RESET_AND_OFF；numeric_storage=SIGNED_INT64_SATURATING；head_marker_shows_capped_value=是
D18	淘金狂热	通用	地图通用	16	target=SELF；cast=INSTANT；range=0m；shape=CIRCLE；radius=80m；width=0m；duration=20s	type=SCAN_OLD_EQUIPMENT；radius_m=80；minimum_ground_age_s=10；mark_duration_s=20；snapshot_at_cast=是；newly_aging_items_not_added=是；scan_ignores_fog_and_walls=是；recipient=CASTER_ONLY；marker_reveals_owner_or_source=否
D19	豆兵	通用	地图通用	50	target=SELF_FORWARD；cast=INSTANT；range=3m；shape=POINT；radius=0m；width=0m；duration=15s	type=SPAWN_SUMMON；archetype=BEAN_SOLDIER；count=3；duration_s=15；hp=150；attack=15；attack_attribute_inherit=0；triggers_owner_passives=否
D20	陷阱	通用	地图通用	16	target=GROUND_POINT_OR_OWN_TRAP；cast=INSTANT；range=3m；shape=CIRCLE；radius=6m；width=0m；duration=90s	type=VISIBLE_TRAP_OR_REMOTE_DETONATE；placement_range_m=3；duration_s=90；instance_limit=3；fourth_removes_oldest=是；arming_s=0.5；body_blocks=否；trigger_radius_m=0.75；trigger_damage=fixed=180；trigger_attack_coef=0.8；root_s=1.5；reveal_s=8；remote_range=GLOBAL；remote_damage=fixed=100；remote_attack_coef=0.6；remote_radius_m=6；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER；all_capsule_trajectory_cross_triggers=是；exceptions=INVULNERABLE / PHYSICALLY_ABOVE_TRIGGER_VOLUME；remote_selection_tap=NEAREST_TRAP_TO_AIM_VECTOR；remote_selection_hold=OPEN_OWN_TRAP_SELECTOR；remote_selection_tie=TRAP_INSTANCE_ID_ASC；trap_hp=250；destructible_by_enemy=是；destroy_reward=NONE；destroy_explosion=否；blocks_movement=否；no_own_trap_press=PLACEMENT_MODE
D21	冰棺	通用	地图通用	75	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=4s	type=SELF_LOCK_INVULNERABILITY；duration_s=4；can_move=否；can_basic=否；can_cast=否
D22	铁布衫	通用	地图通用	45	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=5s	type=SELF_SHIELD；amount=600；duration_s=5；absorbs=BASIC / SKILL / DOT / PERCENT / REFLECT / TRUE / STORM；shield_absorption_order=EARLIEST_EXPIRY_TICK_FIRST / CREATION_SEQUENCE_ASC；same_source_new_cast=INDEPENDENT_INSTANCE
