微点ID	标签	坐标m	宏区	region_id
MAP_SHOP_POINT_23	S08_2	309.8 / -119.4	MAP_SHOP_MACRO_08	REGION_BURNING_WATER
MAP_SHOP_POINT_24	S08_3	309 / -101.6	MAP_SHOP_MACRO_08	REGION_BURNING_WATER
MAP_SHOP_POINT_25	S09_1	-245.7 / -153	MAP_SHOP_MACRO_09	REGION_LOST_SOUL_FIELD
MAP_SHOP_POINT_26	S09_2	-249.9 / -162.1	MAP_SHOP_MACRO_09	REGION_LOST_SOUL_FIELD
MAP_SHOP_POINT_27	S09_3	-250.6 / -144.3	MAP_SHOP_MACRO_09	REGION_LOST_SOUL_FIELD
MAP_SHOP_POINT_28	S10_1	-59.2 / -121	MAP_SHOP_MACRO_10	REGION_LOST_SOUL_FIELD
MAP_SHOP_POINT_29	S10_2	-63.3 / -130.1	MAP_SHOP_MACRO_10	REGION_LOST_SOUL_FIELD
MAP_SHOP_POINT_30	S10_3	-64.1 / -112.3	MAP_SHOP_MACRO_10	REGION_LOST_SOUL_FIELD
MAP_SHOP_POINT_31	S11_1	76.8 / -153	MAP_SHOP_MACRO_11	REGION_CENTIPEDE_CITY
MAP_SHOP_POINT_32	S11_2	72.6 / -162.1	MAP_SHOP_MACRO_11	REGION_CENTIPEDE_CITY
MAP_SHOP_POINT_33	S11_3	71.8 / -144.3	MAP_SHOP_MACRO_11	REGION_CENTIPEDE_CITY
MAP_SHOP_POINT_34	S12_1	252.6 / -183.9	MAP_SHOP_MACRO_12	REGION_CENTIPEDE_CITY
MAP_SHOP_POINT_35	S12_2	248.5 / -193	MAP_SHOP_MACRO_12	REGION_CENTIPEDE_CITY
MAP_SHOP_POINT_36	S12_3	247.7 / -175.2	MAP_SHOP_MACRO_12	REGION_CENTIPEDE_CITY
MAP_SHOP_POINT_37	S13_1	-324.1 / 143.9	MAP_SHOP_MACRO_13	REGION_SPIDER_GORGE
MAP_SHOP_POINT_38	S13_2	-328.2 / 134.8	MAP_SHOP_MACRO_13	REGION_SPIDER_GORGE
MAP_SHOP_POINT_39	S13_3	-329 / 152.6	MAP_SHOP_MACRO_13	REGION_SPIDER_GORGE
MAP_SHOP_POINT_40	S14_1	75.7 / 34.6	MAP_SHOP_MACRO_14	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_41	S14_2	71.5 / 25.6	MAP_SHOP_MACRO_14	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_42	S14_3	70.8 / 43.4	MAP_SHOP_MACRO_14	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_43	S15_1	363.5 / 26.7	MAP_SHOP_MACRO_15	REGION_BURNING_WATER
MAP_SHOP_POINT_44	S15_2	359.3 / 17.6	MAP_SHOP_MACRO_15	REGION_BURNING_WATER
MAP_SHOP_POINT_45	S15_3	358.6 / 35.4	MAP_SHOP_MACRO_15	REGION_BURNING_WATER
MAP_SHOP_POINT_46	S16_1	-14.9 / -165.2	MAP_SHOP_MACRO_16	REGION_LOST_SOUL_FIELD
MAP_SHOP_POINT_47	S16_2	-19.1 / -174.3	MAP_SHOP_MACRO_16	REGION_LOST_SOUL_FIELD
MAP_SHOP_POINT_48	S16_3	-19.8 / -156.5	MAP_SHOP_MACRO_16	REGION_LOST_SOUL_FIELD
