a,b,class,width_m,length_m
N097,N074,SHOP,6,43.0
N098,N025,SHOP,6,40.7
N098,N082,SHOP,6,57.0
N099,N000,SPAWNL,6,22.6
N099,N064,SPAWNL,6,67.9
N100,N038,SPAWNL,6,35.1
N100,N031,SPAWNL,6,44.1
N101,N032,SPAWNL,6,89.6
N101,N041,SPAWNL,6,104.5
N102,N041,SPAWNL,6,43.4
N102,N032,SPAWNL,6,73.2
N103,N033,SPAWNL,6,92.5
N103,N034,SPAWNL,6,104.1
N104,N008,SPAWNL,6,88.3
N104,N009,SPAWNL,6,88.7
N105,N086,SPAWNL,6,30.8
N105,N074,SPAWNL,6,44.0
N106,N068,SPAWNL,6,37.7
N106,N043,SPAWNL,6,56.7
N107,N030,SPAWNL,6,37.4
N107,N072,SPAWNL,6,40.7
N108,N071,SPAWNL,6,67.3
N108,N047,SPAWNL,6,67.5
N109,N075,SPAWNL,6,42.1
N109,N046,SPAWNL,6,58.4
N110,N070,SPAWNL,6,64.1
N110,N044,SPAWNL,6,75.5
N111,N021,SPAWNL,6,41.6
N111,N069,SPAWNL,6,59.0
N112,N010,SPAWNL,6,63.3
N112,N021,SPAWNL,6,101.3
N113,N076,SPAWNL,6,75.2
N113,N104,SPAWNL,6,108.7
N114,N115,RAMP,5,30.6
N115,N116,RAMP,5,31.1
N114,N117,RAMP,5,31.5
N117,N118,RAMP,5,25.1
N119,N120,RAMP,5,26.5
N120,N121,RAMP,5,26.7
N122,N123,RAMP,5,22.4
N123,N124,RAMP,5,25.3
N000,N125,MAIN,12,48.0
N125,N001,MAIN,12,48.0
N125,N083,SIDEDOOR,4.5,51.9
N001,N126,MAIN,12,32.1
N126,N002,MAIN,12,32.1
N126,N083,SIDEDOOR,4.5,33.7
N002,N127,MAIN,12,50.6
N127,N003,MAIN,12,50.6
N127,N084,SIDEDOOR,4.5,44.7
N003,N128,MAIN,12,37.9
N128,N004,MAIN,12,37.9
N128,N084,SIDEDOOR,4.5,57.7
N004,N129,MAIN,12,56.0
N129,N005,MAIN,12,56.0
N129,N052,SIDEDOOR,4.5,30.4
N005,N130,MAIN,12,35.9
N130,N006,MAIN,12,35.9
N130,N054,SIDEDOOR,4.5,18.7
N006,N131,MAIN,12,45.3
N131,N007,MAIN,12,45.3
N131,N085,SIDEDOOR,4.5,66.7
N007,N132,MAIN,12,37.0
N132,N008,MAIN,12,37.0
N132,N067,SIDEDOOR,4.5,46.2
N008,N133,MAIN,12,45.3
N133,N009,MAIN,12,45.3
N133,N067,SIDEDOOR,4.5,71.4
N010,N134,MAIN,12,40.0
N134,N011,MAIN,12,40.0
N134,N040,SIDEDOOR,4.5,77.7
N011,N135,MAIN,12,36.8
N135,N012,MAIN,12,36.8
N135,N087,SIDEDOOR,4.5,21.2
N012,N136,MAIN,12,38.6
N136,N013,MAIN,12,38.6
N136,N065,SIDEDOOR,4.5,24.3
N013,N137,MAIN,12,35.0
N137,N014,MAIN,12,35.0
N137,N088,SIDEDOOR,4.5,58.5
N014,N138,MAIN,12,45.3
N138,N015,MAIN,12,45.3
N138,N057,SIDEDOOR,4.5,26.8
N015,N139,MAIN,12,32.1
N139,N016,MAIN,12,32.1
N139,N058,SIDEDOOR,4.5,47.2
N016,N140,MAIN,12,50.6
N140,N017,MAIN,12,50.6
N140,N049,SIDEDOOR,4.5,48.6
N017,N141,MAIN,12,35.9
N141,N018,MAIN,12,35.9
N141,N061,SIDEDOOR,4.5,61.5
N018,N142,MAIN,12,48.0
N142,N019,MAIN,12,48.0
N142,N089,SIDEDOOR,4.5,36.0
N019,N143,MAIN,12,36.9
N143,N020,MAIN,12,36.9
N143,N121,SIDEDOOR,4.5,29.1
N021,N144,MAIN,12,45.3
N144,N022,MAIN,12,45.3
N144,N069,SIDEDOOR,4.5,20.8
N022,N145,MAIN,12,37.7
N145,N023,MAIN,12,37.7
N145,N091,SIDEDOOR,4.5,31.0
N023,N146,MAIN,12,41.3
N146,N024,MAIN,12,41.3
N146,N051,SIDEDOOR,4.5,59.4
N024,N147,MAIN,12,40.5
N147,N025,MAIN,12,40.5
N147,N079,SIDEDOOR,4.5,24.0
N025,N148,MAIN,12,57.3
N148,N026,MAIN,12,57.3
N148,N098,SIDEDOOR,4.5,31.1
N026,N149,MAIN,12,35.9
N149,N027,MAIN,12,35.9
N149,N093,SIDEDOOR,4.5,17.7
N027,N150,MAIN,12,42.6
N150,N028,MAIN,12,42.6
N150,N080,SIDEDOOR,4.5,43.1
N028,N151,MAIN,12,41.6
N151,N029,MAIN,12,41.6
N151,N094,SIDEDOOR,4.5,25.3
N029,N152,MAIN,12,36.0
N152,N030,MAIN,12,36.0
N152,N072,SIDEDOOR,4.5,16.0
N001,N153,MAIN,12,49.8
N153,N031,MAIN,12,49.8
N153,N126,SIDEDOOR,4.5,42.1
N031,N154,MAIN,12,50.7
N154,N012,MAIN,12,50.7
N154,N048,SIDEDOOR,4.5,39.2
N155,N035,SIDEDOOR,4.5,21.5
N014,N156,MAIN,12,53.4
N156,N024,MAIN,12,53.4
N156,N088,SIDEDOOR,4.5,26.8
N157,N130,SIDEDOOR,4.5,56.7
N158,N060,SIDEDOOR,4.5,24.1
N159,N042,SIDEDOOR,4.5,19.1
N160,N043,SIDEDOOR,4.5,50.1
N002,N161,MAIN,12,42.7
N161,N032,MAIN,12,42.7
N161,N127,SIDEDOOR,4.5,41.0
N032,N162,MAIN,12,57.4
N162,N033,MAIN,12,57.4
N162,N041,SIDEDOOR,4.5,18.5
N033,N163,MAIN,12,50.7
N163,N034,MAIN,12,50.7
N163,N123,SIDEDOOR,4.5,20.4
N034,N164,MAIN,12,71.8
N164,N007,MAIN,12,71.8
N164,N006,SIDEDOOR,4.5,28.3
N013,N165,MAIN,12,44.8
N165,N035,MAIN,12,44.8
N165,N155,SIDEDOOR,4.5,30.7
N035,N166,MAIN,12,54.4
N166,N016,MAIN,12,54.4
N166,N055,SIDEDOOR,4.5,57.2
N015,N167,MAIN,12,35.5
N167,N036,MAIN,12,35.5
N167,N056,SIDEDOOR,4.5,19.1
N036,N168,MAIN,12,53.3
N168,N025,MAIN,12,53.3
N168,N092,SIDEDOOR,4.5,15.6
N017,N169,MAIN,12,44.8
N169,N037,MAIN,12,44.8
N169,N141,SIDEDOOR,4.5,48.2
N037,N170,MAIN,12,58.9
N170,N019,MAIN,12,58.9
N170,N121,SIDEDOOR,4.5,38.8
N010,N171,SIDE,7,49.5
N171,N038,SIDE,7,49.5
N171,N073,BREACH,4,46.4
N038,N172,SIDE,7,31.8
N172,N031,SIDE,7,31.8
N172,N100,SIDEDOOR,4.5,24.0
N031,N173,SIDE,7,50.6
N173,N039,SIDE,7,50.6
N173,N154,SIDEDOOR,4.5,50.7
N039,N174,SIDE,7,45.9
N174,N013,SIDE,7,45.9
N174,N065,SIDEDOOR,4.5,29.2
N012,N175,SIDE,7,48.2
N175,N040,SIDE,7,48.2
N175,N135,SIDEDOOR,4.5,24.0
N040,N176,SIDE,7,44.4
N176,N023,SIDE,7,44.4
N176,N078,SIDEDOOR,4.5,24.9
N003,N177,SIDE,7,42.6
N177,N041,SIDE,7,42.6
N177,N084,SIDEDOOR,4.5,26.8
N041,N178,SIDE,7,34.0
N178,N033,SIDE,7,34.0
N178,N162,SIDEDOOR,4.5,25.7
N005,N179,SIDE,7,45.3
N179,N034,SIDE,7,45.3
N179,N054,SIDEDOOR,4.5,18.7
N034,N180,SIDE,7,30.4
N180,N006,SIDE,7,30.4
N180,N179,SIDEDOOR,4.5,35.9
N007,N181,SIDE,7,43.0
N181,N037,SIDE,7,43.0
N181,N067,SIDEDOOR,4.5,58.1
N037,N182,SIDE,7,35.2
N182,N042,SIDE,7,35.2
N182,N159,SIDEDOOR,4.5,22.7
N042,N183,SIDE,7,57.7
N183,N009,SIDE,7,57.7
N183,N115,SIDEDOOR,4.5,17.1
N019,N184,SIDE,7,37.0
N184,N043,SIDE,7,37.0
N184,N068,SIDEDOOR,4.5,24.6
N043,N185,SIDE,7,54.1
N185,N030,SIDE,7,54.1
N185,N107,BREACH,4,90.9
N024,N186,SIDE,7,57.9
N186,N044,SIDE,7,57.9
N186,N079,SIDEDOOR,4.5,32.2
N044,N187,SIDE,7,44.7
N187,N045,SIDE,7,44.7
N187,N070,SIDEDOOR,4.5,16.7
N026,N188,SIDE,7,44.0
N188,N046,SIDE,7,44.0
N188,N148,SIDEDOOR,4.5,72.2
N004,N189,MAIN,12,32.0
N189,N155,MAIN,12,32.0
N189,N165,SIDEDOOR,4.5,49.6
N155,N190,MAIN,12,32.0
N190,N014,MAIN,12,32.0
N190,N137,SIDEDOOR,4.5,36.9
N006,N191,MAIN,12,33.3
N191,N157,MAIN,12,33.3
N191,N130,SIDEDOOR,4.5,33.7
N157,N192,MAIN,12,33.3
N192,N017,MAIN,12,33.3
N192,N169,SIDEDOOR,4.5,48.9
N017,N193,MAIN,12,41.5
N193,N158,MAIN,12,41.5
N193,N061,SIDEDOOR,4.5,30.7
N158,N194,MAIN,12,41.5
N194,N027,MAIN,12,41.5
N194,N063,SIDEDOOR,4.5,15.3
N008,N195,MAIN,12,56.1
N195,N159,MAIN,12,56.1
N195,N042,SIDEDOOR,4.5,41.7
N159,N196,MAIN,12,56.1
N196,N019,MAIN,12,56.1
N196,N121,SIDEDOOR,4.5,25.1
N019,N197,MAIN,12,42.8
N197,N160,MAIN,12,42.8
N197,N184,SIDEDOOR,4.5,25.0
N160,N198,MAIN,12,42.8
N198,N029,MAIN,12,42.8
N198,N151,SIDEDOOR,4.5,39.4
